评论内容,fenci,主题概率,主题类型
太喜欢这间名宿啦～地理位置很好就在市中心附近 一楼就是咖啡馆 从房间门口出来就是长沙很火的网红景点 大花窗 可以换上衣服美美的来拍照房间里的设施也很齐全应有尽有！很干净很整洁 还有一面超大的镜子 没人可以拒绝 整体很温馨～楼下有很多店铺 吃东西什么都很方便 强烈推荐家人们来旅游可以首选这家哦！,喜欢 名宿 地理位置 市中心 一楼 咖啡馆 房间 很火 网红 景点 大花 换上 衣服 拍照 房间 设施 干净 整洁 超大 镜子 拒绝 整体 店铺 首选,"[(8, 0.9630733)]",8
房间很好看！！配备戴森的吹风机这点很棒 女生长头发很快吹干 房间没来得及拍 但是楼下咖啡厅（住客免费打卡，不是住客78一位）很好拍！！！超级出片 场景很多 装修很有质感 床垫很舒服我们两个人来住，免费打卡相当于省了156！,房间 好看 配备 吹风机 很棒 生长 头发 吹干 房间 咖啡厅 住客 打卡 住客 出片 场景 装修 质感 床垫 舒服 打卡 相当于,"[(12, 0.9580384)]",12
放假风格很好看 很干净 配置齐全 装修好看 服务也超级棒 地理位置适中 靠近五一 但是民宿附近又很安静 还可以拍照什么的 泰酷辣！！ 来长沙旅游或者探店什么的朋友们可以试试定他们家 不亏很赚,放假 风格 好看 干净 配置 装修 好看 地理位置 适中 靠近 民宿 拍照 酷辣 探店 朋友,"[(9, 0.942304)]",9
房间很好看 楼下是咖啡厅 不过我到的比较晚没来得及好好参观一下 旁边还有个买手店 也没来得及逛 下次再去吧 很适合拍照 也挺方便的 离五一就一站路 附近也有很多吃的 民宿还有管家 如果有行李的话会来帮忙接 不过我当时没什么行李就没让来接 是很温柔的一个小哥哥 投影仪也很清楚 我都想买一个同型号的装家里了,房间 好看 咖啡厅 参观 手店 适合 拍照 民宿 管家 行李 帮忙 行李 温柔 投影仪 同型号,"[(2, 0.9423028)]",2
找到一家非常有情调的民宿，交通方便，距离五一广场很近，民宿位于潮宗街里面，想喝咖啡不用到处找了，民宿就是咖啡厅，每天很多网红小姐姐过来打卡拍照，十分养眼！！,找到 情调 民宿 交通 距离 民宿 位于 不用 民宿 咖啡厅 网红 打卡 拍照 养眼,"[(1, 0.9384561)]",1
位置在长沙市中心很方便 最好的一点管家小哥服务超级好、主动会帮我们提行李 房间卫生还挺干净整洁  一楼还是网红咖啡厅,位置 中心 管家 小哥 行李 房间 卫生 干净 整洁 一楼 网红 咖啡厅,"[(7, 0.40222028), (8, 0.2960894), (12, 0.2425144)]",7
环境很好很多明星都来住过的耶 出行也很方便离吃饭的玩的地方都很近步行就能到 房间很大很宽敞很适合外出居住！,环境 出行 吃饭 地方 步行 房间 很大 宽敞 适合 外出 居住,"[(9, 0.9230707)]",9
房间很漂亮而且香香的！！阳台那里很出片 楼下有咖啡厅 然后房间外头就是很多人打卡的花窗,房间 很漂亮 阳台 咖啡厅 房间 外头 打卡 花窗,"[(8, 0.8974257)]",8
非常舒服 适合来旅游的朋友入住 环境好 拍照也很出片 推荐！,舒服 适合 朋友 入住 环境 拍照 推荐,"[(10, 0.88461226)]",10
服务很好，环境也，拍照就更好啦,环境 拍照,"[(0, 0.025641622), (1, 0.025641805), (2, 0.025641385), (3, 0.025641372), (4, 0.025641786), (5, 0.025641518), (6, 0.02564152), (7, 0.025641637), (8, 0.69230133), (9, 0.025641415), (10, 0.025641782), (11, 0.025641423), (12, 0.0256414)]",8
管家服务非常好 房间卫生干净整洁,管家 房间 卫生 干净 整洁,"[(0, 0.012820698), (1, 0.012820753), (2, 0.012820766), (3, 0.012820702), (4, 0.012820683), (5, 0.8461512), (6, 0.012820729), (7, 0.012820833), (8, 0.012820792), (9, 0.012820733), (10, 0.012820703), (11, 0.012820713), (12, 0.012820727)]",5
房间很舒服，推荐,房间 舒服 推荐,"[(0, 0.019231262), (1, 0.019231282), (2, 0.019231105), (3, 0.0192312), (4, 0.019231036), (5, 0.019231154), (6, 0.019231264), (7, 0.7692247), (8, 0.0192313), (9, 0.01923181), (10, 0.01923138), (11, 0.019231271), (12, 0.019231267)]",7
房间卫生干净利落整洁 小哥哥服务态度特别好 下次来长沙还会来,房间 卫生 干净利落 整洁 服务态度,"[(0, 0.012821151), (1, 0.012821224), (2, 0.0128212515), (3, 0.01282115), (4, 0.012821104), (5, 0.012821395), (6, 0.012821146), (7, 0.01282135), (8, 0.84614563), (9, 0.012821153), (10, 0.012821154), (11, 0.012821119), (12, 0.012821192)]",8
太棒啦！！很出片！！,太棒,"[(0, 0.5384076), (1, 0.03846603), (2, 0.03846603), (3, 0.03846603), (4, 0.03846603), (5, 0.03846603), (6, 0.03846603), (7, 0.03846603), (8, 0.03846603), (9, 0.03846603), (10, 0.03846603), (11, 0.03846603), (12, 0.03846603)]",0
不错，交通挺方便。干静,不错 交通 干静,"[(0, 0.019231377), (1, 0.019231427), (2, 0.019231401), (3, 0.019231385), (4, 0.019231373), (5, 0.019231463), (6, 0.7692229), (7, 0.019231513), (8, 0.019231515), (9, 0.019231448), (10, 0.0192314), (11, 0.01923137), (12, 0.0192314)]",6
民宿很有风格，有格调，闹中取静，很舒服，一楼的咖啡馆也特别适合打卡拍照，每天都很多小姐姐拍照，下次不忙的时候一定要在这里喝杯咖啡好好休息一下。,民宿 风格 格调 舒服 一楼 咖啡馆 适合 打卡 拍照 拍照 喝杯 咖啡 休息,"[(10, 0.9340625)]",10
推荐推荐这家民宿，喜欢拍照的小姐姐这在这里，处处出片，隔壁的店铺很多潮牌店，最喜欢民宿门口的玩偶，好特别！房间的大浴缸，智能马桶，戴森吹风机，高级感满满。,推荐 推荐 民宿 喜欢 拍照 出片 店铺 潮牌 喜欢 民宿 玩偶 房间 浴缸 智能 马桶 吹风机 满满,"[(9, 0.9487149)]",9
位置好逛吃都方便、装修好是网红打卡地、服务卫生也都不错。 小插曲阳台锁有点问题，反映了一下，态度挺好给解决了。 还会再次入住。,位置 装修 打卡 卫生 不错 插曲 阳台 态度 解决 入住,"[(2, 0.91607887)]",2
