所属主题,文章数量,特征词,主题强度
Topic0,142,基础、购买、小朋友、知识、实用、好好、新书、本书、京东、推荐、适合、希望、建议、可惜、物流、正版、布局、配合、理解、没看、好用、印刷、自学、工作、一本、轻松、电子、方向、内容、没什么,0.06568
Topic1,185,内容、学习、适合、必备、详细、驱动、印刷、代码、通俗易懂、阅读、新手、系统、网上、操作、暂时、实用、不行、缺陷、看着、实用性、仔细、解答、清晰、包装、对了、项目、实验、少点、领域、工具,0.085569
Topic2,155,京东、好评、一如既往、东西、研究、代码、物流、质量、图书、长期、送礼、双十、想想、神经网络、预期、驱动、本来、系统、速度、包装、机器、便宜、稍微、网卡、光驱、两个、无线、硬盘、感觉、外壳,0.071693
Topic3,192,京东、不错、技能、时代、那种、快递、发货、仔细、时间、到货、屏幕、服务、网络、专业、计划、人员、信赖、送货、转型、还行、研究、想买、单位、辛苦、比较简单、材料、保存、一点儿、拓展、条件,0.088807
Topic4,280,系统、京东、内存、驱动、麻烦、买来、安装、几天、类型、实际上、阅读、进一步、评价、摸鱼、开封、男人、大大的、事情、信赖、习惯性、信任、受限、落后、代表、希望、硬盘、显卡、声音、仔细、键盘,0.12951
Topic5,142,通俗易懂、工具书、系统、肯定、划算、早就、采购、数码、开心、费力、两天、安装、预装、驱动、购买、麻烦、软件、散热、屏幕、建议、推荐、电池、小时、硬盘、不行、蓝牙、价格、设置、键盘、鼠标,0.06568
Topic6,343,学习、机器、本书、感觉、入门、基础、希望、京东、系统、书籍、值得、推荐、介绍、物流、驱动、内容、数据、安装、内存、支持、喜欢、买来、相关、随便、案例、实操、符合、统一、疫情、建议,0.15865
Topic7,162,希望、有用、方便快捷、京东、作者、保证、实战、便宜、自营、质量、第一版、系统、方法、键盘、视频、小哥、色差、购物、使劲、贴近、期间、工作、配套、出书、专业知识、理解、深刻、有误、期待、体系,0.074931
Topic8,136,网络、入门、好好、本书、好书、赞赞、工程师、京东、购物、收到、自动化、工作效率、详细、维护、服务、一本、下单、质量、编程、适合、提高、驱动、时间、初学者、物品、更新、打开、支持、方式、完整,0.062905
Topic9,133,好评、第一版、没看、希望、努力、专业、增加、提高、时间、还好、感觉、质量、系统、删除、基础、素质、一项、形象、出门、心情、再也、屏幕、作者、样子、显卡、足足、电池、驱动、新版、模块,0.061517
Topic10,172,物流、速度、希望、经典、质量、一周、感觉、还好、客服、效果、技术、包装、一份、预想、重叠、个人感觉、分享、基础知识、用于、停止、屏幕、理解、操作、自动、机器、服务态度、错误、学习、鼠标、散热,0.079556
Topic11,120,小白、第二天、品质、追求、期间、京东、推荐、麻烦、系统、驱动、自营、网卡、无线、详细、电池、电脑、安装、鼠标、触摸板、发热、发现、光驱、键盘、指纹、客服、缺点、购买、散热、品牌、时间,0.055504
