所属主题,文章数量,特征词,主题强度
Topic0,44,不错、便宜、充足、合适、很大、固定、配套、便利、惊艳、很棒、火爆、惊喜、友好、优秀、干净、确实、卫生、新颖、苦难、牛杂,0.056701
Topic1,69,很大、不错、独特、便宜、充满、厚重、坚韧、干净、紧凑、珍惜、深厚、完美、快乐、壮观、正好、很强、精美、麻烦、便利、有限,0.088918
Topic2,40,不错、干净、美好、惊艳、合适、整洁、厚重、很大、辛苦、平等、欢乐、独特、惊喜、连续、很好、平均、鲜活、顺利、有限、精湛,0.051546
Topic3,42,很棒、确实、完美、不错、有限、快乐、厉害、细腻、漂亮、厚重、拖沓、紧凑、干净、舒适、精湛、热闹、挺大、正好、惊艳、很大,0.054124
Topic4,53,厚重、完整、独特、不错、清晰、遗憾、干净、善良、友好、舒适、耀眼、悲壮、痛苦、舒服、成功、良心、太美、寒冷、紧张、珍惜,0.068299
Topic5,44,很好、独特、深厚、干净、骄傲、犹豫、幸福、幸运、不愧、浓厚、牛杂、宽敞、灿烂、挺贵、痛苦、乐观、疲劳、悠扬、繁多、最要,0.056701
Topic6,37,不错、遗憾、确实、很大、厚重、苦难、真诚、坚韧、干净、巧妙、正好、善良、幸福、精湛、惊喜、整洁、特效、不贵、很好、精妙,0.04768
Topic7,109,不错、很大、干净、便宜、轻松、苦难、简单、确实、豁达、合适、整洁、奇妙、配套、遗憾、友好、有趣、漂亮、不贵、很棒、悲惨,0.14046
Topic8,44,很大、确实、不贵、精致、独特、配套、很好、最强、充裕、豁达、完美、精湛、充满、客满、火爆、幸福、极佳、诚意、有趣、鲜活,0.056701
Topic9,44,不错、很好、新颖、干净、骄傲、确实、厚重、舒适、简单、一大、充足、便利、年轻、遗憾、合适、成功、宏大、很火、热闹、朦胧,0.056701
Topic10,39,惊艳、很棒、独特、厚重、清晰、紧张、壮观、尊重、准确、沉重、深厚、宏大、舒服、轻松、很大、珍惜、充实、很好、很美、很小,0.050258
Topic11,73,干净、遗憾、确实、惊喜、很大、不错、优秀、壮观、浪漫、卫生、不贵、宏大、珍惜、美好、完美、厚重、苦难、漂亮、意外、合适,0.094072
Topic12,52,很棒、独特、很大、特效、便宜、完美、巧妙、新颖、干净、配套、充满、厚重、惊艳、便利、确实、浓郁、浓厚、精湛、恢弘、浪漫,0.06701
Topic13,45,不错、惊喜、独特、确实、很好、很大、骄傲、美好、充实、惊艳、欢乐、合适、神秘、新颖、珍惜、仔细、平遥、轻松、精美、温暖,0.05799
Topic14,41,遗憾、不错、很大、努力、优秀、热爱、意外、耐心、深厚、厚重、便利、诚意、新颖、紧凑、完美、极佳、幽默、细致、很好、苦难,0.052835
