Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重
环境,0.031,感觉,0.037,动物,0.046,地方,0.089
野生动物,0.020,机会,0.026,风景,0.040,社区,0.026
生活,0.020,国宝,0.018,景色,0.028,小伙伴,0.015
世界,0.015,小鸟,0.018,旅游,0.022,动物园,0.012
共生,0.009,视频,0.016,生态,0.020,旅行,0.010
北动,0.009,专业,0.013,野生动物,0.016,生物,0.009
朋友,0.008,茶园,0.012,人类,0.015,仙女,0.009
鸟儿,0.008,老师,0.009,体验,0.013,感兴趣,0.009
魅力,0.008,新闻,0.008,时间,0.012,兴趣,0.009
垃圾,0.008,保护环境,0.008,森林,0.009,旗下,0.008
基地,0.007,评论,0.008,物种,0.009,交流,0.008
游玩,0.007,豹子,0.008,孩子,0.009,农夫山泉,0.007
动植物,0.007,榜单,0.007,美景,0.008,心动,0.005
工作,0.006,竹子,0.007,栖息地,0.007,颜色,0.005
历史,0.006,农夫山泉,0.006,意义,0.007,食物,0.005
羽毛,0.006,直播,0.005,台词,0.007,绿色,0.005
精彩,0.006,旅游,0.005,家园,0.006,地球,0.005
空气,0.006,情况,0.005,影响,0.006,动物,0.005
关心,0.005,领导,0.005,演员,0.006,茶文化,0.005
不错呀,0.005,数量,0.005,表态,0.005,生命,0.004
公众,0.005,记者,0.004,建设,0.005,雪豹,0.004
文化,0.005,社会,0.004,华南虎,0.005,风景,0.004
感觉,0.005,雪豹,0.004,万物,0.005,老师,0.004
普达,0.004,公司,0.004,保护区,0.004,活动,0.004
小时候,0.004,饲养员,0.004,记录,0.004,麻烦,0.004
计划,0.004,景点,0.004,动物园,0.004,优质,0.004
林业局,0.004,生威,0.004,心情,0.004,工作人员,0.004
草原,0.004,猴子,0.004,穿山甲,0.004,身体,0.003
发展,0.004,环境保护,0.004,狼群,0.004,电车,0.003
群众,0.004,镜头,0.003,事件,0.003,质量,0.003
