所属主题,文章数量,特征词,主题强度
Topic0,23,房间、干净、民宿、卫生、晚上、服务、长沙、老板、美好、不错、下次、特别、超级、很大、到位、好看、解决、风格、适合、露台、装修、喜欢、环境、工作人员、热情、前台、推荐、马桶、宝藏、智能、随手、环境卫生、自然、很棒、氛围、复式、橘子洲、交通、出行、整洁、五一广场、小姐姐、好吃、愉快、吉娃娃、挺吵、双人、便捷、出差、审美、健谈、日子、门口、啊啊啊、网上、莲子、甜品、只能、第一天、半山、了去、家具、赶紧、反正、太平、米粉、榻榻米、偶遇、对胃口、希望、工作、平时、延时、有种、投影仪、抑郁、耳塞、拍照、休闲、超出、打车、早餐、微信、现场、小孩、探索、服务态度、可爱、双人床、第一次、真的、质感、经验、放弃、相符、下才、预期、入住、在线、闲逛,0.050661
Topic1,11,舒服、周边、老板、干净、推荐、服务、地铁站、打车、安静、出行、民宿、感觉、房间、答应、旅行、美宿、态度、入住、看中、吃喝玩乐、房东、电梯、中午、关键、网红、贴心、八千多、景区、橘子洲、写字楼、特色美食、惬意、大热天、古色古香、十足、冰箱、十分钟、退房、对面、厨房、特别、亲切、名宿、值得、村子、性价比、一眼、公交站、夜景、美食、延迟、两个、热情、拍照、客服、灯光、设计、茶颜、超级、带上去、打卡、床垫、很棒、排队、外面、国金、洗衣机、路上、喜欢、走路、适合、和蔼、交通、一床、热心、小姐姐、卫生、方式、小吃、门口、不错、满意、院子、环境、位置、下次、管家、服务态度、酒店、地理位置、真的、长沙、整洁、体验、设施、图片、装修、齐全、服务满意、五一广场,0.024229
Topic2,28,干净、房间、不错、服务、小姐姐、民宿、老板、舒服、热情、入住、特别、环境、住宿、喜欢、景色、朋友、位置、适合、设施、长沙、家庭、卫生、价格、态度、打扫、惬意、距离、密码、行李、智能、免费、退房、黄兴广场、提前、本来、窗外、管家、齐全、小朋友、江边、有求必应、体验、周边、临街、真的、整洁、微信、下次、电梯、城市、整体、店家、亲切、至极、屋顶、天宝兄弟、靠近、交通、身体、荡荡、信息、大名鼎鼎、购物、沟通、这家、一点、声控、友善、繁华、江景、介绍、景点、被套、拥挤、套餐、潮宗、四个、光影、米左右、有不懂、周到、几个、烤串、添加、物品、第一家、湘江、雅雅、全屋、释放、建议、耐心、登记、想象、很久没、步行、茶颜悦色、一体、毛巾、秋千,0.061674
Topic3,32,房间、干净、卫生、不错、服务、设施、齐全、酒店、入住、感觉、整洁、民宿、长沙、贴心、特别、空调、位置、环境、这家、性价比、地方、楼下、热情、投影、真的、满意、巷子、潮宗街、提前、友好、孩子、停车费、走路、特色、一号线、很亮、小姐姐、温馨、电视、舒服、马桶、舒适、淋浴、客服、下次、推荐、体验、强烈推荐、很棒、整体、态度、很大、出行、老板、建议、时间、总体、五一广场、隔音、榻榻米、地铁、小吃、交通、出门、用品、很美、全程、客人、露营、布置、一种、留下、街上、点心、地垫、后果、小贵、游玩、旁边、唯一、景区、洗澡、美观、提供、臭豆腐、面积、几张、餐饮店、非常适合、断续、小店、烧烤、距离、屋顶、用具、弹素、污渍、发现、开好、就行了,0.070485
Topic4,34,不错、干净、卫生、服务、设施、房间、环境、喜欢、装修、住宿、服务态度、哈哈哈、位置、酒店、用品、精致、交通、楼下、美食、到位、舒适、入住、一家、舒服、管家、环境卫生、价格合理、设备齐全、阁楼、购物、需求、几天、城市、不失、天宝兄弟、出游、湘江、吃饭、对面、两点、宽敞、靠近、那种、出门、宽敞明亮、东西、看着、正合适、像是、风格、不想、马路、完善、下午茶、地铁站、洗衣机、柜子、强烈推荐、退房、购物广场、老板、细心、房子、质感、橘子洲、长沙、舒心、流连忘返、令人、各项、延迟、下次、夜市、窗外、家里、太棒了、三口、付出、整体、配套、公寓、出行、精美、图片、愉快、出乎意料、还给、冬瓜山、缺点、齐全、布草、正街、品尝、回去、唯一、好看、棒棒、真的、选择、超级,0.07489
Topic5,27,房间、服务、干净、民宿、卫生、入住、酒店、长沙、空调、环境、前台、地理位置、希望、行李、一点、喜欢、老板、设施、感觉、打车、免费、不错、场地、出入、下午茶、停车、烧烤、景点、贴心、打卡、厕所、一份、舒适、套餐、特色、凉快、这家、攻略、手机、打扫、旅游、江边、小姐姐、水果、下楼、位置、推荐、宁静、提前、管家、一家、很大、真的、发现、客人、更好、两间房、台风、没换、椅子、很久、停车场、强劲、强烈推荐、一间、楼梯、小笼包、赠送、对接、做好、臭味、寻找、几点、不让、提上去、指南、故障、玫瑰、太好了、好吃、线下、孩子、得去、询问、这辈子、有心、两个、潮宗、呼呼、密码锁、打扫卫生、烧麦、小贺、半夜、几家、天下、匠心独具、室外、好多、热情,0.059471
Topic6,9,干净、超级、卫生、房间、服务、环境、出行、地铁口、服务态度、特别、逛街、设施、好好、酒店、舒服、满意、选择、极佳、记得、小伙伴、市区、基地、五一广场、小时、商业街、有事、没得、打卡、性价比、推荐、装修、小房间、步行、安静、阿姨、玩累、毛病、好多、齐全、第二天、超出、一点多、小朋友、券是、散散步、空调、距离、商圈、管家、半夜、新装修、个豆、不远、更好、国金、上门、比住、漂亮、休息、称之为、适合、山姆、地理位置、早餐、拍照片、睡着、保洁、环境卫生、店主、周边、秘密、商家、表扬、不错、停车、热情、很棒、出钱、分钟、哇塞、晚上、长沙、双床、多一点、下次、位置、喜欢、舒适、体验、入住、民宿、老板、风格、这家、夜景、温馨、小姐姐、图片、前台、好吃,0.019824
Topic7,28,房间、民宿、干净、真的、环境、管家、不错、舒服、推荐、超级、位置、地理位置、喜欢、热情、好吃、入住、老板、服务、早餐、湘江、楼下、贴心、特别、小姐姐、很大、交通、安静、地铁、时间、细节、周边环境、设计、退房、步行街、工作人员、解决、行李、楼上、出入、夜市、水果、免费、下午茶、漂亮、吃饭、好看、提前、舒适、步行、前台、文和友、机会、体验、卫生、拖鞋、这家、一次性、服务态度、分钟、设施、潮宗街、空调、隔音、感觉、休闲、位于、无宿、华远、瓶装、南塔、安排、一盏灯、态度、手机、配有、条状、还给、润肤霜、洗澡、我心、看着、信息、傍晚、细致、各条、山水、令人满意、下楼、便利、太好了、九折、感到、小孩子、精美、空气清新、儿子、友好、百岁、牙膏、心意,0.061674
Topic8,21,房间、服务、老板、环境、设施、干净、酒店、管家、很快、民宿、长沙、喜欢、性价比、卫生、整洁、入住、推荐、下次、真的、住宿、洗衣机、到位、两个、小朋友、地理位置、值得、回复、风景、硬件、总体、下午茶、装修、热情、开心、服务态度、体验、满意、感觉、真心、出片、湿地、微信、一层、耐心、时间、中心、看得出、重样、公园、随和、市中心、每次、床品、精挑细选、带上、小贺、家里人、宽敞、一分钟、的的、下雨、星期、程度、东西、室内、软件、五一、味道、询问、质量、后会、帮忙、赞不绝口、第一、心善、打扫、排除、好玩、配图、丰盛、隐藏、纸巾、配备、回忆、优点、热情周到、景点、惊喜、橘子洲、枉费、大赞、品味、意外、长沙市、房间内、潮宗街、选出、朋友圈、配套、留下,0.046256
Topic9,16,房间、推荐、不错、卫生、入住、喜欢、环境、服务、小姐姐、民宿、很大、整体、长沙、满意、下次、干净、朋友、凤凰古城、不好、齐全、价位、好看、特别、舒服、位置、四个、宣传、值得、外景、高铁、等待、很好、出行、贴心、好吃、酒店、设施、前台、图片、女儿、太爽了、实惠、续住、配套、温馨、找到、评价、态度、见上图、一模一样、小型、忘记、投屏、发发、影响、小孩、猫咪、更是、不远、很棒、连住、下车、无脑、市中心、选择、随手、情侣、三天、谢谢、出游、如他、风景、投影仪、阿姨、第一次、快捷、撸到、特喜、天天、体会、拍照、风格、我家、电影、可爱、维修、负责、出片、室友、有人、中心、阳台、价钱、保安、回来、老字号、不想、热水器、装修、升级,0.035242
