id,label
theme,theme
nostalgic,nostalgic
friendship,friendship
mathematical,mathematical
formulas,formulas
socks,socks
artistic,artistic
vision,vision
toothpaste,toothpaste
clothes,clothes
shoes,shoes
soul,soul
emoticon,emoticon
perfect,perfect
collision,collision
community,community
partner,partner
super,super
talkative,talkative
exchange,exchange
money,money
discover,discover
economic,economic
ability,ability
supports,supports
consumer,consumer
behavior,behavior
credit,credit
card,card
cash,cash
hard,hard
flowers,flowers
skirts,skirts
parent,parent
giant,giant
gate,gate
fengge,fengge
angel,angel
ruizan,ruizan
mathematics,mathematics
choose,choose
carpe,carpe
pocket,pocket
beautiful,beautiful
pay,pay
travel,travel
horizons,horizons
share,share
model,model
experience,experience
evil,evil
air,air
effects,effects
favorable,favorable
chicken,chicken
sister,sister
father,father
disease,disease
law,law
parents,parents
reply,reply
die,die
merchant,merchant
live,live
road,road
fall,fall
love,love
parental,parental
earth,earth
sky,sky
greedy,greedy
wolf,wolf
communicate,communicate
flow,flow
reason,reason
hear,hear
empty,empty
mood,mood
surface,surface
private,private
traffic,traffic
leeks,leeks
supermarket,supermarket
movies,movies
feelings,feelings
public,public
opinion,opinion
tianji,tianji
temple,temple
tian,tian
support,support
distribution,distribution
happy,happy
capitalists,capitalists
branch,branch
country,country
expert,expert
certificate,certificate
peach,peach
blossom,blossom
feels,feels
tiankui,tiankui
garbage,garbage
internal,internal
consumption,consumption
single,single
door,door
mother,mother
pays,pays
attention,attention
level,level
villagers,villagers
village,village
people,people
fatal,fatal
rational,rational
environment,environment
lack,lack
decline,decline
emotional,emotional
physical,physical
expression,expression
concepts,concepts
traditional,traditional
reviews,reviews
substances,substances
clever,clever
economy,economy
blogger,blogger
caixin,caixin
avoid,avoid
income,income
stable,stable
tianliang,tianliang
chemical,chemical
pressure,pressure
play,play
brother,brother
department,department
power,power
wenqu,wenqu
god,god
divorce,divorce
relationship,relationship
mental,mental
hours,hours
military,military
skybladder,skybladder
martian,martian
official,official
photo,photo
cultural,cultural
picture,picture
head,head
artificial,artificial
intelligence,intelligence
trend,trend
bad,bad
weibo,weibo
unwilling,unwilling
brand,brand
online,online
contract,contract
saturation,saturation
network,network
car,car
chipper,chipper
life,life
skin,skin
social,social
hope,hope
material,material
protection,protection
fee,fee
refine,refine
voice,voice
sober,sober
robotic,robotic
robot,robot
construction,construction
factory,factory
sand,sand
chip,chip
oil,oil
tsmc,tsmc
table,table
chair,chair
comfortable,comfortable
human,human
resources,resources
beauty,beauty
science,science
technology,technology
drive,drive
technological,technological
change,change
focus,focus
smart,smart
driving,driving
conference,conference
screen,screen
market,market
rich,rich
pick,pick
apple,apple
microsoft,microsoft
mandarin,mandarin
standard,standard
speech,speech
confidence,confidence
war,war
pace,pace
taoist,taoist
capability,capability
drives,drives
semiconductor,semiconductor
industry,industry
suppress,suppress
terminal,terminal
team,team
sanctions,sanctions
