所属主题,文章数量,特征词,主题强度
Topic0,1148,考试、上海、我阳、老师、网页、考场、事情、春暖花开、学习、好不好、生活、生命、技术、医生、姐妹、人生、记得、选择、就阳、昨晚,0.044157
Topic1,261,教授、人体、维生素、运动、中医药、功能、工人、补充、炎症、改善、身体、损伤、万元、疾病、提高、百度、上海、申报、血液、爷爷奶奶,0.010039
Topic2,1832,希望、都阳、感觉、一年、生活、日子、啊啊啊、阿兹夫、朋友、事情、人生、好像、好好、身边、冬至、父母、不想、东西、世界、生命,0.070467
Topic3,1038,症状、治疗、咳嗽、中医、患者、嗓子、用药、药物、身体、中药、疼痛、作用、服用、酸痛、病情、对症、加重、发热、感冒、疾病,0.039926
Topic4,596,画作、艺术、美术、系列、心肌炎、千野、喜欢、老公、食神、婚姻、讨厌、异性、女性、努力、代表、八字、上限、人生、义无反顾、女人,0.022925
Topic5,478,市场、亿元、过年、预期、指数、资金、业绩、同比、婆婆、板块、多喝水、增长、上涨、离谱、基金、行业、反弹、股份、弟弟、投资,0.018386
Topic6,461,病例、确诊、街道、例为、感染者、无症状、报告、重庆、累计、输入、新增、本土、上海、出院、死亡、四川、社区、小区、境外、广东,0.017732
Topic7,1665,喜欢、世界、广州、期待、平安、向阳、未来、崩溃、顺顺利利、永远、时光、温暖、美好、阳光、人间、元旦、支持、拥抱、内心、喜乐,0.064043
Topic8,3966,病毒、感染、新冠、疫苗、疫情、中国、接种、国家、美国、放开、患者、变异、重症、奥密克、免疫、流行、流感、症状、毒株、人群,0.15255
Topic9,3644,疫情、防控、新冠、核酸、检测、肺炎、隔离、人员、健康、措施、工作、风险、做好、冠状病毒、新型、感染者、口罩、阳性、防护、发现,0.14016
Topic10,7408,发烧、感觉、身体、回家、朋友、学校、口罩、家里、几天、妈妈、晚上、时间、希望、医院、难受、照顾、生活、昨天、症状、特别,0.28494
Topic11,3501,疫情、病毒、防控、工作、发展、防疫、抗疫、中国、经济、生活、健康、社会、做好、政策、服务、一线、群众、战胜、加油、面对,0.13466
