所属主题,文章数量,特征词,主题强度
Topic0,164,值得、不错、购买、易懂、简单、好书、质量、适合、信赖、配置、外观、接触、工程师、速度、笔记本、纸张、包装、感觉、清晰、一遍、合适、漂亮、印刷、做工、品牌、网络、活动、本书、入门、京东,0.066993
Topic1,205,不错、喜欢、漂亮、本书、速度、看着、适合、散热、外观设计、键盘、好好看、外观、系统、知识、性价比、性能、好好学习、很快、东西、买来、省心、书店、小时、电池、时间、感觉、配置、价格、入手、满意,0.083742
Topic2,74,讲解、书籍、不错、完好、学到、力度、正版、推荐、送货、包装、收到、印刷、知识、自学、经验、生动、视频、学习、质量、基础、配置、活动、必备、清晰、好看、外观、晚上、破损、评价、同学,0.030229
Topic3,171,不错、内容、适合、本书、购买、图书、质量、好书、推荐、购物、语言、阅读、合适、基础、挺不错、入门、速度、一本、值得、简单、好好、整体、京东、满意、配置、印刷、总体、外观、操作、键盘,0.069853
Topic4,498,不错、质量、京东、送货、东西、速度、价格、值得、购买、性价比、内容、一本、喜欢、感觉、快递、配置、本书、案例、很快、满意、活动、实惠、推荐、机器、外观、好用、内存、性能、散热、经典,0.20343
Topic5,94,学习、不错、入门、书籍、适合、内容、全新、机器、京东、作者、有用、性价比、本书、理解、选择、很好、希望、推荐、大气、朋友、门槛、感觉、外观、专注、同学、买到、犹豫、失望、赘述、利用,0.038399
Topic6,182,不错、质量、学习、纸张、包装、优惠、内容、慢慢、精美、东西、很好、清晰、很快、下次、价格、速度、正版、本书、物流、发货、排版、作者、做工、字体、购买、性价比、书本、喜欢、适合、系统,0.074346
Topic7,126,性价比、很好、不错、概念、参考书、满意、关注、入手、配置、整体、价格、键盘、电池、小时、一段时间、本本、感觉、外观、下次、感谢、有个、商城、动手、友好、实例、评论、代码、续航、硬盘、驱动,0.051471
Topic8,224,不错、学习、做工、代码、实践、机器、屏幕、配置、清晰、通俗易懂、外观、一本、本书、性价比、办公、实用、散热、键盘、提高、文字、很漂亮、感觉、满意、接口、喜欢、性能、效果、印刷、测试、包装,0.091503
Topic9,143,物流、速度、书籍、很快、不错、质量、值得、正版、实用、学习、京东、好书、满意、很好、发货、入门、外观、东西、收到、加油、代码、正品、孩子、同事、价格、漂亮、印刷、推荐、小白、描述,0.058415
Topic10,170,实用、数据分析、机器、不错、内容、配置、感觉、京东、通俗易懂、东西、涉及、上午、系统、学习、下午、值得、驱动、真的、购买、内存、书籍、代码、价格、预期、发现、键盘、喜欢、屏幕、外观、品牌,0.069444
Topic11,100,正版、很快、运维、京东、系统、外观、优惠、难度、自动化、网工、便宜、值得、价格、不错、上网、速度、性能、送货、很棒、确实、图书、做工、学习、终于、到货、电池、性价比、介绍、经验、观看,0.04085
Topic12,137,不错、好评、内容、质量、京东、宝贝、购买、喜欢、清晰、书籍、真的、正版、外观、印刷、快递、很快、希望、包装、很好、出品、有趣、小哥、完美、字迹、收到、选择、做工、书本、完好、产品,0.055964
Topic13,160,不错、质量、活动、京东、内容、实惠、工具书、价格、东西、值得、速度、商品、购买、配送、包装、读书、很棒、破损、完好、自营、键盘、性价比、赶上、美观、期间、保证、棒棒、便宜、希望、设计,0.065359
