Unnamed: 0,发表时间,作者,评级,标题,内容,fenci,sentiment,主题概率,主题类型
,2024-07-31 22:53:24,。。， 。，,1,。。,我举报过的带节奏，引战直播间，评论从来没有看到过直正处理的，不管我举报多少次还是一样在发，直播,举报 节奏 引战 直播间 评论 举报,负面,"[(7, 0.15458761), (11, 0.72159326)]",11
,2024-07-31 22:41:48,b 站黑子,1,没有投诉建议的渠道 霸王平台恶心,天天推送讨厌的内容,推送 讨厌 内容,负面,"[(0, 0.016666895), (1, 0.016666906), (2, 0.016666915), (3, 0.016666899), (4, 0.016666904), (5, 0.016666915), (6, 0.016666902), (7, 0.49336022), (8, 0.016666895), (9, 0.016666954), (10, 0.016666895), (11, 0.016666912), (12, 0.28996992), (13, 0.016666979), (14, 0.016666895)]",7
,2024-07-31 21:08:21,吃了不拿拿就荡走,5,求求审核轻点,看漫删减的很难受,看漫 删减 难受,负面,"[(0, 0.016678661), (1, 0.016678674), (2, 0.016678661), (3, 0.016678663), (4, 0.51343006), (5, 0.016678667), (6, 0.016678678), (7, 0.016678663), (8, 0.01667867), (9, 0.016678663), (10, 0.26974726), (11, 0.016678661), (12, 0.016678661), (13, 0.016678665), (14, 0.016678661)]",4
,2024-07-31 21:01:31,垃圾垃圾垃圾垃圾垃圾垃圾垃圾好垃圾垃圾垃圾啊了,1,恶心,（该条评论已经被删除）真恶心,评论 删除 恶心,负面,"[(0, 0.016666735), (1, 0.016666723), (2, 0.016666727), (3, 0.01666676), (4, 0.4782019), (5, 0.30513054), (6, 0.016666738), (7, 0.01666673), (8, 0.016666744), (9, 0.01666674), (10, 0.016666733), (11, 0.016666753), (12, 0.016666727), (13, 0.01666673), (14, 0.01666672)]",4
,2024-07-31 20:03:17,能不能把这个功能普及一下？谢谢！,3,为什么我看不到动态了？,（该条评论已经被删除）如题，很长一段时间没有刷到图文动态了,评论 删除 刷到 图文 动态,负面,"[(0, 0.0111167785), (1, 0.011116791), (2, 0.011116794), (3, 0.0111167785), (4, 0.3693758), (5, 0.011116828), (6, 0.011116787), (7, 0.011116811), (8, 0.0111168055), (9, 0.48610583), (10, 0.011116785), (11, 0.011116804), (12, 0.0111167785), (13, 0.011116805), (14, 0.011116779)]",9
,2024-07-31 18:35:02,不在深圳,5,我都住在里面了,好，虽然码率差点意思。返回键能不能不要一下子直接退回主页面。,码率 差点 返回 退回 页面,负面,"[(0, 0.011117405), (1, 0.0111174015), (2, 0.011117457), (3, 0.011117401), (4, 0.011117399), (5, 0.011117401), (6, 0.011117399), (7, 0.011117401), (8, 0.0111174015), (9, 0.84435624), (10, 0.011117401), (11, 0.011117406), (12, 0.011117402), (13, 0.01111744), (14, 0.011117439)]",9
,2024-07-31 16:58:53,？？。？ 😳😳😳😳,5,还行，不错,（该条评论已经被删除）啥都不错，就是老有广告,评论 删除 不错 广告,负面,"[(0, 0.013334599), (1, 0.013334632), (2, 0.013334637), (3, 0.01333463), (4, 0.013334607), (5, 0.013334633), (6, 0.013334607), (7, 0.013334596), (8, 0.013334612), (9, 0.013334597), (10, 0.013334603), (11, 0.81331545), (12, 0.013334593), (13, 0.013334602), (14, 0.013334593)]",11
,2024-07-31 16:32:12,45554555589,1,灵动岛能整明白么,在哪开启关闭，不知道怎么关的，再也开不开,开启 关闭 开不开,负面,"[(0, 0.016682059), (1, 0.01668206), (2, 0.01668207), (3, 0.016682066), (4, 0.016682122), (5, 0.016682057), (6, 0.016682055), (7, 0.49925983), (8, 0.016682124), (9, 0.016682072), (10, 0.2838732), (11, 0.016682094), (12, 0.016682055), (13, 0.016682059), (14, 0.016682057)]",7
,2024-07-31 15:39:46,sdfg！,5,还可以,没有理由，总之就是还可以,理由,负面,"[(0, 0.033335414), (1, 0.033335306), (2, 0.033335313), (3, 0.033335306), (4, 0.033335306), (5, 0.033335306), (6, 0.033335306), (7, 0.5333054), (8, 0.033335328), (9, 0.033335306), (10, 0.033335343), (11, 0.033335306), (12, 0.03333541), (13, 0.033335306), (14, 0.033335306)]",7
,2024-07-31 15:08:54,guyingzilians,1,听视频呢,视频页面的听视频按钮呢，你们怎么做负优化啊！,视频 页面 视频 按钮 做负,负面,"[(0, 0.0111154625), (1, 0.011115459), (2, 0.011115466), (3, 0.011115454), (4, 0.011115458), (5, 0.011115459), (6, 0.011115453), (7, 0.68866575), (8, 0.011115461), (9, 0.011115464), (10, 0.0111154625), (11, 0.011115469), (12, 0.011115459), (13, 0.011115472), (14, 0.1668333)]",7
