content,emotion_scroe
姐这个造型好美,0.9790598880216304
头发末端可以再自然一些,0.49305240784982174
戴森为A姐定制的造型耶✌超美超帅的吧好伐,0.9972289808789977
像极了用502胶水粘呢发型，外加这动画般呢面孔；要不看其他作品还真以为是电脑刻画特效,0.9620873739152124
换个运营吧，好好的一个IP搞砸了,0.006755230996251083
所以数字人是找个真人把皮肤磨皮到最高，,0.9330905493671375
时热度还蛮高的，现在和素人差不多了已经,0.9011285205861376
要是每张照片脸处理的都和头像一样细致就好了,0.453211981950823
应该是真人，只是p了一些而已,0.8227635765890097
做的不错就是运营不咋样，视频做的都啥玩意，能有粉？,0.16354918242115235
"做了这么久还没突破，一直都是图片，
动起来动起来。像人一样",0.9005166318448736
咱就是说实在做不出短视频可以不做,0.1680051687567633
就是抄七龙珠的18号搞了个虚拟偶像到现在也只能二维图是么，连个动画都没。。。,0.15329628278787455
为啥都是图片没有动态的视频？,0.06389932710381929
长好看是不是运气也有加成啊,0.5346538630359924
听人劝吃饱饭，能不能换个剪辑方式,0.052409739207422645
背景音乐为什么这么耳熟,0.8356264569176544
知否配音真的很绝,0.6401969611393015
好水啊….一张后期加一堆实拍,0.27924080947959395
看不出来是数字的啊，凉的也太快了,0.6198495768750035
脚趾太难看了，能顺便把脚趾改一下吗？,0.29119422859670485
全静态的。。。。无语。。。。只能说明你捏的好，还会配图搭建场景。。。。,0.03399663523431429
你能动一下吗，这叫数字人，笑了,0.8972914521470514
为什么都出不来视频，总用图片可不行啊！那她就不是熟悉人，只是一个平面形象。可以合作制作哦！,0.5678962270382412
虚拟人黑头发也会长出来[泣不成声]也要给新头发补色？,0.5608956431237113
虽然是假的 但是挺好,0.8129776659132977
高级感油然而生,0.5247186179240106
和头像有 区别 头像年轻,0.7937889586620005
他不是数字人吗我咋感觉他是真的人,0.8181712567516459
虽然但是和以前比起来真的有点点的土气救命,0.7661547411140718
这服装妆容仿佛县城姑娘,0.612809950073019
就说什么时候直播吧,0.2237847658859452
不存在的人是那么美好、可惜她却不存在、对于我一个有血有肉的人而言、她毫无意义,0.8118955505693729
有谁知道这个美女是虚拟出来的还是真实的呢？,0.6882511291172033
天 她还有思想 可以自主沟通 打游戏？,0.9283865874048356
我想问一下那她在显示生活中，能看得到吗？,0.7445012850687518
终于可以粉一个不会塌房的存在了,0.4243570521003762
说起来就很奇怪 看这脸居然我还觉得眼熟,0.08492364164097554
这个数字人到底是机器人还是虚拟人？还可以和明星打卡。,0.9253446828097538
感觉是找了个真人拍完，把头脸换成啊呀咦的模型,0.8122783202961529
这真的是数字人吗 这么逼真,0.9297661596980464
除了脸和，头发是虚拟的，我感觉不出别的是虚拟的,0.2510131153871571
头发连动都不动，估计虚拟的,0.15728252080903804
我真的很想知道 数字人带货真的有人会买吗……,0.9652494340443322
你自己会发小红书吗，还是工作人员帮你发的,0.3095481095190542
哇塞这个妆容显得太美了吧,0.7010504737054011
这个技术也是绝了,0.4302286736274855
这也太酷了吧！制景,0.54326435854958
风衣很飒飒,0.6005895981186729
丝绒裙看起来好优雅！,0.978522765000614
中式风格好爱好爱姐姐真美,0.9992604068810932
AI都要走新中式风格啦~,0.879460435465359
这个穿搭真好看，很有气质,0.8445521070288451
这姐子的穿搭真的绝了,0.3525365090997159
超喜欢看你分享生活～,0.984844771183876
果然是酷酷的美女,0.34329539654803887
A姐七夕穿这么美，不知道收到花花了没呀,0.5675498065937284
姐姐好美！衣服颜色和晚霞很搭,0.9833020164383001
这套好有气质,0.6117295695113586
立马下单好吧，跟着a姐不会错,0.24226895429937834
国际品牌+国际代言人,0.6282310022652062
太厉害了吧 既然这种都还有ai,0.24294843808451605
和你一起领美，和你一起变美,0.9741391142695656
哇塞 a宝更新了 冲冲冲！,0.19485488064387224
这么高级的冻干粉 新品感觉不错 想尝试一下,0.49558580268533936
这个ip怎么还能接到商单 有人care吗……,0.3409615568052793
理性讨论一下，用AI数字人做美妆广告...有说服力吗？毕竟她的皮肤跟人类皮肤....,0.9959880929005401
这么高的颜值一整个爱住,0.7326912281808833
五官好精致,0.8495561943330929
时尚感直接拉满,0.8998130211394625
真没有......如果我刷到很好看的图我会点进那个人的主页看看其他图是不是基本都是我喜欢的风格再点关注，然而这个人的主页我从来没有印象看过并且说实话大部分图都感觉很假不是我喜欢的风格，就更不可能关注了......,0.9910443519258111
这组照片好有感觉,0.768585679245905
创意太棒了,0.9898861964329452
刚想说怎么这么假，结果一看是虚拟idol,0.4637432179941311
OMG概念好绝,0.875214349849314
好酷啊 好期待,0.9426561506509606
地铁站拍照片也这么好看，好看的怎么拍都是好看的,0.9665264831466194
又现实又梦幻的感觉,0.9732432119786818
好有cp感哦 我还以为是真人呢,0.8393728514873249
哇……这样的美人美景值得流连难忘,0.9892229948637278
除了羡慕嫉妒恨，没有别的,0.9980218085437319
好想和姐姐一起合影,0.3845361923551682
前排打卡啦啦啦！我也要合照,0.44767845850986676
