Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重,Topic7-主题词,Topic7-权重,Topic8-主题词,Topic8-权重,Topic9-主题词,Topic9-权重,Topic10-主题词,Topic10-权重
不错,0.062,不错,0.028,不错,0.053,不错,0.054,不错,0.054,不错,0.037,不错,0.096,不错,0.086,不错,0.071,学习,0.077,京东,0.018
值得,0.032,好用,0.020,正版,0.041,很好,0.025,好书,0.020,活动,0.027,质量,0.033,购买,0.045,质量,0.025,不错,0.076,不错,0.018
包装,0.032,知识,0.016,质量,0.025,物流,0.020,内容,0.019,价格,0.024,满意,0.017,值得,0.038,京东,0.025,内容,0.058,外观,0.015
质量,0.027,有用,0.013,书籍,0.018,速度,0.018,值得,0.015,好评,0.019,内容,0.016,学习,0.036,速度,0.019,书籍,0.035,小时,0.012
很快,0.022,外观,0.012,配置,0.011,喜欢,0.014,喜欢,0.012,加油,0.019,散热,0.013,东西,0.026,东西,0.011,本书,0.032,小白,0.012
速度,0.019,推荐,0.012,速度,0.010,机器,0.012,质量,0.012,质量,0.017,一本,0.010,京东,0.023,送货,0.010,入门,0.021,性价比,0.011
内容,0.014,满意,0.010,案例,0.010,性价比,0.012,键盘,0.010,实惠,0.016,机器,0.010,入门,0.022,性价比,0.009,机器,0.020,电池,0.009
好评,0.014,系统,0.009,做工,0.008,活动,0.011,外观,0.009,配置,0.010,收到,0.009,适合,0.022,配置,0.009,适合,0.017,价格,0.009
购买,0.013,配置,0.009,外观,0.008,价格,0.011,纸张,0.009,入手,0.009,性价比,0.009,很快,0.021,老师,0.008,代码,0.017,书店,0.007
易懂,0.013,一如既往,0.008,键盘,0.008,力度,0.011,拥有,0.008,正版,0.008,配置,0.008,质量,0.016,工具书,0.008,质量,0.016,生动,0.007
完好,0.012,关注,0.008,喜欢,0.008,质量,0.010,适合,0.008,经典,0.008,系统,0.008,活动,0.015,做工,0.008,讲解,0.015,系统,0.006
物流,0.012,难度,0.008,实用,0.008,东西,0.010,编程,0.008,内容,0.008,清晰,0.008,喜欢,0.013,商品,0.007,印刷,0.012,完美,0.006
印刷,0.011,速度,0.008,东西,0.007,阅读,0.008,速度,0.008,配送,0.007,正版,0.008,送货,0.013,真的,0.007,通俗易懂,0.011,速度,0.006
精美,0.011,键盘,0.007,系统,0.006,包装,0.008,希望,0.008,赶上,0.006,出品,0.007,书籍,0.012,挺快,0.007,一本,0.010,便宜,0.006
宝贝,0.011,性价比,0.007,性能,0.006,轻松,0.008,一本,0.008,驱动,0.006,案例,0.007,速度,0.012,很快,0.006,数据分析,0.009,键盘,0.005
清晰,0.010,价格,0.007,价格,0.006,键盘,0.008,配置,0.007,性价比,0.006,感觉,0.007,推荐,0.012,概念,0.006,作者,0.009,感觉,0.005
满意,0.010,内存,0.007,不好,0.006,做工,0.008,自动化,0.007,屏幕,0.006,外观,0.007,本书,0.011,价格,0.006,清晰,0.009,做工,0.005
发货,0.010,实用,0.007,看着,0.006,屏幕,0.008,学习,0.007,印刷,0.006,详细,0.007,快递,0.011,内容,0.006,初学者,0.008,好好学习,0.005
送货,0.010,京东,0.006,正品,0.006,清晰,0.007,驱动,0.006,工具书,0.006,描述,0.007,优惠,0.008,机器,0.006,推荐,0.007,大气,0.005
简单,0.010,感谢,0.006,平时,0.005,硬盘,0.006,漂亮,0.006,性能,0.005,舒服,0.007,图书,0.008,读书,0.006,纸张,0.007,漂亮,0.005
适合,0.009,散热,0.006,配有,0.005,基础,0.006,排版,0.006,上网,0.005,纸张,0.006,性价比,0.008,充实,0.006,买来,0.007,配置,0.005
推荐,0.009,漂亮,0.006,工具书,0.005,外观,0.005,运维,0.006,外观,0.005,京东,0.006,合适,0.008,喜欢,0.006,符合,0.006,实惠,0.005
终于,0.008,本本,0.005,第一版,0.005,系统,0.005,本书,0.006,一本,0.005,期待,0.006,感觉,0.008,购物,0.006,语言,0.006,满意,0.005
知识,0.008,希望,0.005,拿来,0.005,内存,0.005,系统,0.006,购买,0.005,破损,0.006,实用,0.007,涉及,0.006,好好,0.006,散热,0.005
学习,0.007,性能,0.005,即可,0.005,太慢,0.005,实践,0.005,书本,0.005,项目,0.006,基础,0.007,快递,0.006,慢慢,0.006,内存,0.005
必备,0.007,同事,0.005,相关,0.005,送货,0.005,满意,0.005,推荐,0.005,图书,0.006,物流,0.007,物流,0.006,教材,0.006,实在,0.004
机器,0.007,到位,0.005,想着,0.005,总体,0.005,散热,0.005,速度,0.005,字迹,0.006,希望,0.007,系统,0.006,东西,0.005,体验,0.004
接触,0.006,东西,0.005,本本,0.005,京东,0.004,下载,0.005,时间,0.005,参考书,0.005,收到,0.007,键盘,0.006,感觉,0.005,入手,0.004
感觉,0.006,好看,0.005,性价比,0.005,优惠,0.004,完美,0.005,很快,0.005,下次,0.005,商城,0.006,自营,0.005,书本,0.005,眼睛,0.004
小哥,0.006,下次,0.004,笔记本,0.004,不用,0.004,性价比,0.005,机器,0.005,便宜,0.005,整体,0.006,散热,0.005,好评,0.005,送货,0.004
