word,counts
空间,20570
后排,5113
感觉,3730
后备箱,3492
车子,2711
宽敞,2392
座椅,2138
乘坐,2124
地方,2052
一点,2022
特别,1912
前排,1758
坐在,1741
东西,1650
不错,1635
设计,1581
很大,1466
储物,1441
车内,1345
拥挤,1313
驾驶,1249
舒服,1249
内饰,1226
款车,1131
腿部,1124
平时,1124
表现,1078
足够,1022
够用,1001
喜欢,988
整体,975
真的,961
身高,930
时间,864
三个,831
头部,825
稍微,822
这辆,797
确实,768
舒适,718
位置,715
高速,663
新车,658
隔音,643
开车,641
提车,633
噪音,593
味道,582
新能源,575
效果,566
距离,565
日常,564
发现,548
情况,543
出行,539
两个,528
车身,519
动力,515
充足,513
轴距,512
车型,510
影响,507
挺大,481
前后排,479
充电,475
比亚迪,468
感受,466
家用,455
异味,453
空间设计,453
车里,433
轻松,432
孩子,430
用车,419
体验,418
朋友,417
容积,409
紧凑型,405
尺寸,404
这车,400
行李箱,396
价格,391
续航,386
需求,386
优惠,381
底盘,380
一家人,376
活动,376
物品,371
声音,366
发动机,361
有时候,361
外观,354
配置,353
能力,350
一米,344
家人,340
选择,338
二郎腿,335
行李,335
不好,332
个子,331
缺点,326
压抑,326
储物格,326
地板,315
合适,315
后备,315
轮胎,313
调节,311
一家,310
那种,310
不用,301
实用,297
行驶,297
买车,297
舒适性,297
接受,295
担心,294
没什么,293
显得,292
不算,289
功能,288
希望,283
成年人,281
宽松,281
出去玩,281
肯定,280
算是,279
很好,274
减震,271
台车,270
这款,268
内部空间,267
油耗,261
完美,260
内部,260
速度,260
还好,259
家里,258
颜色,258
压力,258
头顶,257
只能,257
第二排,255
颠簸,252
优秀,251
挺不错,246
中控,243
平常,242
老婆,241
车上,241
刹车,238
原因,238
过程,236
手机,236
备胎,234
扶手箱,232
放下,231
视野,227
纯平,225
出门,225
感到,224
操控,222
充裕,220
市区,220
方向盘,220
平整,219
要说,217
坐满,215
自驾游,214
公里,214
不到,214
每次,213
级别,213
适合,209
一款,207
车门,206
车顶,204
高度,204
更好,203
身材,203
满载,202
上下班,202
唯一,201
一拳,198
空调,197
几个,196
放倒,196
副驾驶,195
销售,194
车辆,193
家庭,193
这方面,193
噪声,192
调整,190
坐上去,185
大小,184
紧凑,183
无论是,181
通风,181
优势,179
提升,179
比较满意,177
体重,174
绰绰有余,172
座位,172
放在,171
亮点,171
好看,170
不太好,169
宽裕,168
习惯,167
难受,167
反正,166
天窗,166
长途,165
利用率,164
轿车,163
不小,162
耐脏,162
一段时间,161
细节,161
两拳,161
容量,161
局促,160
是因为,159
出色,158
舒适度,158
小孩,157
家里人,155
看着,152
我家,152
杯架,151
宽度,151
凸起,150
电动,150
全景,149
打开,149
压抑感,148
同级,148
大件,148
角度,147
燃油,144
实在,144
整车,143
父母,143
布局,140
中央,140
体型,140
总体,139
车漆,139
性能,138
中控台,137
符合,137
长时间,136
开口,136
三口,135
汽车,135
安静,134
暂时,134
一点点,134
起步,132
加速,132
路面,131
休息,130
想象,130
地台,129
物件,127
一台,126
一辆,126
音乐,126
放平,126
材质,125
减速带,124
带来,124
伸展,124
性价比,124
能装,124
毛病,123
宽大,123
路段,123
小东西,122
状态,122
坐姿,122
乘客,122
五个,122
质感,121
到位,121
旅游,121
扶手,120
试驾,120
电池,120
自由,120
相比,119
排放,119
长度,119
后期,118
刚刚,117
风格,117
人性化,117
回家,116
几天,115
回老家,114
模式,114
车速,114
好像,113
本来,113
利用,113
做工,113
支持,113
代步,113
靠背,112
导致,112
屏幕,112
丝毫,112
周期,111
水杯,111
坐下,110
周末,110
理想,110
想要,110
开阔,109
媳妇,108
价位,108
实用性,108
自然,107
深度,107
订车,106
用料,105
放松,104
比例,104
睡觉,104
听到,104
剩余,104
装载,103
太小,103
放不下,103
支撑,102
值得,102
高速行驶,102
放得,102
玻璃,102
定位,102
包括,101
超过,100
四口,100
等待,99
版本,99
里程,98
五口,98
混动,98
改进,98
能放,98
空间感,98
收纳,98
提到,98
太久,98
风噪,98
悬挂,97
大气,97
悬架,97
大人,97
好多,96
塑料,95
放置,95
预期,95
气味,95
自动,94
中规中矩,93
满座,93
系统,92
杂物,92
说实话,92
估计,92
挺好,92
解决,91
挺舒服,91
当初,91
坑洼,91
之间,90
存放,90
品牌,90
增加,90
有个,90
过年,89
优点,89
一种,89
路上,89
仪表盘,89
回来,88
质量,88
提高,88
后座,88
容纳,88
尾箱,88
旅行,88
提速,87
门板,87
后背,87
冬天,86
样子,86
驾驶座,86
车长,86
放进去,86
友好,85
厂家,85
段时间,85
很棒,84
全家,84
一块,83
视线,83
车机,83
造型,83
膝盖,82
有待,82
时尚,82
网上,81
办法,81
简单,81
同事,80
接近,79
相对来说,79
震动,79
加热,79
转向,78
影像,78
身体,78
包裹,78
爸妈,78
大部分,78
较大,78
横向,77
放到,77
外面,77
路况,76
随意,76
力度,76
一个月,76
工具,76
老人,75
行车,75
出游,75
不行,75
家用车,75
运动,75
外出,75
停车,75
间距,75
富裕,75
低速,74
标准,74
介入,74
拳头,73
慢慢,73
差点,73
打理,72
坐垫,72
车主,72
几次,72
白色,72
憋屈,72
颜值,71
水平,71
保证,71
建议,71
没得说,70
购物,70
麻烦,70
排座位,69
很足,69
异响,69
显示,69
四个,69
买回来,68
晕车,68
不用说,68
设置,67
坐进,67
碰到,67
正好,67
提回来,67
全家人,67
蛮大,67
享受,66
启动,66
电车,66
宽阔,66
还行,66
理解,66
钥匙,65
无线,65
档次,65
提供,65
售后,65
找到,65
适中,65
小孩子,65
欠缺,65
上次,65
城市,64
倒车,64
失望,64
安装,64
程度,64
游玩,64
生活,63
购买,63
第一,63
现车,63
店里,63
瑕疵,63
下方,63
遗憾,63
操作,63
升级,63
控制,62
各个方面,62
偏胖,62
带上,62
腿脚,62
顺手,62
随便,62
手感,61
科技,61
灵活,61
轻轻松松,61
入手,61
心情,61
综合,60
多月,60
矿泉水,60
晚上,60
钓鱼,60
油门,59
拘束,59
拥有,59
坐车,59
通病,59
车窗,59
电量,59
露营,59
预算,58
区域,58
搭配,58
顶头,58
压迫感,58
杯子,57
工作,57
驾驶室,57
超大,57
个人感觉,57
五座,57
智能,56
自如,56
音响,56
超级,56
技术,56
评价,56
格子,56
很久,56
中等,56
浅色,55
毫米,55
开窗,55
拿到,54
烤漆,54
环境,54
手套,54
至少,54
空间布局,54
一股,54
数据,54
件物品,54
我会,54
老公,54
皮革,53
第一次,53
油车,53
天气,53
随身,53
空余,53
调教,53
富余,52
补胎,52
语音,52
外观设计,52
事情,52
接送,52
一般般,52
翘起,51
电机,51
成本,51
服务,51
惊喜,50
舒展,50
上车,50
零碎,50
贴心,50
储物箱,50
尾门,50
夏天,50
中型,50
后边,49
关系,49
豪华,49
不成问题,49
调校,49
这块,49
上班,48
礼品,48
配备,48
车厢,48
类型,48
过滤,48
随手,48
保养,48
超出,47
灵敏,47
有点儿,47
闻到,47
追求,47
大点,47
狭窄,47
放水,47
装下,47
在意,47
差距,47
精致,46
轮毂,46
姿势,46
清晰,46
买来,46
一大,46
深色,46
后续,45
