所属主题,文章数量,特征词,主题强度
Topic0,127,会员、广告、垃圾、刷新、登录、评论、恶心、用户、控评、删除、视频、账号、不到、客服、充大、身份、链接、不想、找回、切换,0.049016
Topic1,171,广告、垃圾、太太、视频、后台、开屏、回来、跳转、软件、竖屏、显示、加载、评论、倒闭、收费、玩意、比抖、血腥、主页、支付,0.065998
Topic2,134,广告、会员、视频、垃圾、帐号、开屏、推荐、评论、充电、游戏、软件、功能、删除、恶心、年度、玩意、找到、返回、难看、减肥药,0.051717
Topic3,214,广告、打开、跳转、恶心、卸载、下载、手机、开屏、用户、桌面、哔哩、网页、评论、情况、软件、闪退、敷衍、删除、晃动、发言,0.082594
Topic4,112,评论、删除、恶心、视频、平台、会员、评分、能量、加载、广告、推广、客户、用户、刷到、股票、整体、值得、付钱、忘记、弹出,0.043227
Topic5,601,评论、删除、视频、希望、广告、平台、粉丝、推荐、硬币、网站、版本、内容、跳转、手机、用户、垃圾、系统、改进、通知、下载,0.23196
Topic6,135,评论、删除、闪退、软件、广告、登陆、垃圾、喜欢、意义、劣质、希望、没用、恶心、列表、理解、回来、默认、收藏夹、放在、推给,0.052103
Topic7,188,视频、垃圾、弹幕、播放、闪退、推送、广告、软件、审核、恶心、按钮、评论、看着、要钱、竖屏、打开、擦边球、动态、流量、内容,0.072559
Topic8,130,评论、删除、视频、广告、软件、体验、会员、开屏、垃圾、小时、感觉、耗电、弹窗、官方、追番、包括、恶心、动漫、平台、后台,0.050174
Topic9,128,评论、删除、声音、会员、退出、内容、视频、客服、流量、平台、恶心、广告、软件、播放、用户、结束、聚集地、没法、喜欢、审核,0.049402
Topic10,102,视频、评论、播放、删除、广告、用户、模式、跳转、软件、连续、接触、禁言、下载、换成、收藏、竖屏、手机、审核、版权、不用,0.039367
Topic11,272,评论、删除、视频、广告、软件、喜欢、哔哩、弹幕、审核、举报、客服、小破站、很好、垃圾、好看、用户、希望、鬼畜、内容、推荐,0.10498
Topic12,58,讨厌、垃圾、评论、视频、广告、小孩、用户、软件、删除、修改、团队、恶心、水军、全是、感受、年龄、鼓励、登陆、低俗、开屏,0.022385
Topic13,163,视频、评论、删除、广告、刷新、内容、缓存、推送、平台、打开、用户、关注、发现、不行、推荐、地方、显示、质量、块钱、员工,0.06291
Topic14,56,哔哩、删除、评论、保护、页面、不想、退货、访问、广告、购买、举报、垃圾、退款、服务器、广告费、更改、全家、网友、药丸、孝子,0.021613
