所属主题,文章数量,特征词,主题强度
Topic0,211,不错、值得、包装、质量、很快、速度、内容、好评、购买、易懂、完好、物流、印刷、精美、宝贝、清晰、满意、发货、送货、简单、适合、推荐、终于、知识、学习、必备、机器、接触、感觉、小哥,0.088917
Topic1,154,不错、好用、知识、有用、外观、推荐、满意、系统、配置、一如既往、关注、难度、速度、键盘、性价比、价格、内存、实用、京东、感谢、散热、漂亮、本本、希望、性能、同事、到位、东西、好看、下次,0.064897
Topic2,112,不错、正版、质量、书籍、配置、速度、案例、做工、外观、键盘、喜欢、实用、东西、系统、性能、价格、不好、看着、正品、平时、配有、工具书、第一版、拿来、即可、相关、想着、本本、性价比、笔记本,0.047198
Topic3,279,不错、很好、物流、速度、喜欢、机器、性价比、活动、价格、力度、质量、东西、阅读、包装、轻松、键盘、做工、屏幕、清晰、硬盘、基础、外观、系统、内存、太慢、送货、总体、京东、优惠、不用,0.11757
Topic4,283,不错、好书、内容、值得、喜欢、质量、键盘、外观、纸张、拥有、适合、编程、速度、希望、一本、配置、自动化、学习、驱动、漂亮、排版、运维、本书、系统、实践、满意、散热、下载、完美、性价比,0.11926
Topic5,133,不错、活动、价格、好评、加油、质量、实惠、配置、入手、正版、经典、内容、配送、赶上、驱动、性价比、屏幕、印刷、工具书、性能、上网、外观、一本、购买、书本、推荐、速度、时间、很快、机器,0.056047
Topic6,338,不错、质量、满意、内容、散热、一本、机器、收到、性价比、配置、系统、清晰、正版、出品、案例、感觉、外观、详细、描述、舒服、纸张、京东、期待、破损、项目、图书、字迹、参考书、下次、便宜,0.14244
Topic7,233,不错、购买、值得、学习、东西、京东、入门、适合、很快、质量、活动、喜欢、送货、书籍、速度、推荐、本书、快递、优惠、图书、性价比、合适、感觉、实用、基础、物流、希望、收到、商城、整体,0.098188
Topic8,264,不错、质量、京东、速度、东西、送货、性价比、配置、老师、工具书、做工、商品、真的、挺快、很快、概念、价格、内容、机器、读书、充实、喜欢、购物、涉及、快递、物流、系统、键盘、自营、散热,0.11125
Topic9,185,学习、不错、内容、书籍、本书、入门、机器、适合、代码、质量、讲解、印刷、通俗易懂、一本、数据分析、作者、清晰、初学者、推荐、纸张、买来、符合、语言、好好、慢慢、教材、东西、感觉、书本、好评,0.07796
Topic10,181,京东、不错、外观、小时、小白、性价比、电池、价格、书店、生动、系统、完美、速度、便宜、键盘、感觉、做工、好好学习、大气、漂亮、配置、实惠、满意、散热、内存、实在、体验、入手、眼睛、送货,0.076275
