Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重
便宜,0.028,关注,0.059,恶劣,0.029,正义,0.027,视频,0.038,伤害,0.039
照亮,0.023,转发,0.032,快乐,0.018,支持,0.024,努力,0.028,温暖,0.031
善良,0.023,受害者,0.023,理由,0.017,严惩,0.024,好像,0.016,轻伤,0.028
确实,0.020,法律,0.019,美好,0.014,判决,0.022,官方,0.014,以善,0.017
灵魂,0.017,打人,0.014,能量,0.013,社会,0.022,梦想,0.013,严查,0.014
造谣,0.013,缺席,0.013,判得,0.011,死刑,0.022,善心,0.012,坚定,0.014
稳定,0.013,保护,0.012,平安,0.011,法律,0.017,微博,0.012,不想,0.013
说话,0.012,人生,0.010,开车,0.010,法治,0.013,出警,0.012,人才,0.012
尊重,0.011,地方,0.010,和谐,0.009,希望,0.013,交通,0.011,幸福,0.011
民警,0.009,新闻,0.009,不负,0.008,体现,0.011,女人,0.011,法律制裁,0.010
痛苦,0.009,告慰,0.007,继志,0.008,逝者,0.011,以善,0.010,撞死,0.008
光芒,0.008,恶魔,0.006,明灯,0.008,凶手,0.010,朋友,0.009,重伤,0.008
恐怖,0.008,保护伞,0.006,烧烤店,0.008,事情,0.010,自信,0.009,感受,0.008
遇难者,0.007,罪犯,0.006,性质,0.008,无辜,0.009,邪恶,0.008,家暴,0.007
共情,0.007,依法严惩,0.006,嚣张,0.007,警示,0.009,简单,0.008,善行,0.007
对立,0.007,家属,0.006,精神,0.007,回复,0.009,天地,0.007,很好,0.007
人渣,0.007,应有,0.006,看着,0.007,安息,0.008,抢救,0.007,遇见,0.007
漂亮,0.006,坏人,0.006,发泄,0.006,效应,0.008,决心,0.007,势力,0.006
火光,0.006,事件,0.006,修养,0.006,事件,0.008,奉献,0.007,可惜,0.006
心扉,0.006,女性,0.005,互联网,0.006,表态,0.008,取舍,0.006,警告,0.006
