内容,主题概率,主题类型
生气 喜欢 一圈 文化 大米 打开 不到 虫子 便宜 大米 好气,"[(0, 0.010428599), (1, 0.010425969), (2, 0.010441865), (3, 0.010427349), (4, 0.010426572), (5, 0.010429336), (6, 0.9269822), (7, 0.010438117)]",6
气愤 东方 甄选 宣传 东西 一点 质量 第一 大米 告诉 新鲜 大米 收到 十天 不到 长虫 客服 客服 储存 方式 不当 搞笑 储存 方式 多年 无数 过虫 你家 长虫 建议 听信 宣传 购买,"[(6, 0.97421837)]",6
图片 收到 地瓜 评价 图片 一点 口感 很小 大部分 皮子 食用,"[(0, 0.2832028), (1, 0.010428394), (2, 0.010445295), (3, 0.010436425), (4, 0.52166325), (5, 0.010457794), (6, 0.010430741), (7, 0.14293528)]",4
红薯 去年 时间 两次 两次 坑人,"[(0, 0.017879274), (1, 0.017873246), (2, 0.017862871), (3, 0.017881466), (4, 0.58801126), (5, 0.017896486), (6, 0.30473417), (7, 0.017861208)]",4
回购 无数次 第一次 评价 瓜大 好吃 退要 十几 运费 一点 一箱 回来 谁家,"[(0, 0.9373448)]",0
质量 前几次 差太 五斤 退货 麻烦 得加 运费 客服 失望,"[(0, 0.011383266), (1, 0.5628459), (2, 0.01140792), (3, 0.011393976), (4, 0.21335289), (5, 0.16682933), (6, 0.011387009), (7, 0.011399711)]",1
三十块 买来 本来 想着 好吃 淀粉 嗓子 发过来 咕隆 直播间 展示 难吃,"[(1, 0.9325559)]",1
最差 网购 图片 坏果 一箱 一半,"[(0, 0.8748329), (1, 0.01786986), (2, 0.017873563), (3, 0.017873295), (4, 0.017874563), (5, 0.017939918), (6, 0.017873043), (7, 0.01786288)]",0
失望 特别 快递 买过 回事,"[(0, 0.46368533), (1, 0.020881804), (2, 0.020864176), (3, 0.020857332), (4, 0.4111396), (5, 0.020864738), (6, 0.020854203), (7, 0.020852795)]",0
没吃过 红薯 四十分钟 水分 感觉 宣传 东西,"[(0, 0.015676044), (1, 0.5928332), (2, 0.015657695), (3, 0.01564707), (4, 0.31318766), (5, 0.01567425), (6, 0.015651051), (7, 0.015673023)]",1
大米 漏气 有个 小洞 很脏 外包装 磨损,"[(0, 0.015662154), (1, 0.13407826), (2, 0.7719468), (3, 0.015651861), (4, 0.015658485), (5, 0.015660813), (6, 0.015685514), (7, 0.015656134)]",2
一发 收到 一袋 客服 主播 一秒 失望 感觉,"[(0, 0.5564264), (1, 0.013913807), (2, 0.013918206), (3, 0.36007762), (4, 0.0139148515), (5, 0.013914382), (6, 0.0139171025), (7, 0.01391756)]",0
最差 购物 到货 袋子 保证,"[(0, 0.02086732), (1, 0.020869205), (2, 0.020890158), (3, 0.020865235), (4, 0.020869145), (5, 0.85384214), (6, 0.020926338), (7, 0.020870484)]",5
直播间 介绍 天花乱坠 超级 大米,"[(0, 0.020853242), (1, 0.020873042), (2, 0.020869117), (3, 0.020924002), (4, 0.020873807), (5, 0.8538715), (6, 0.020874918), (7, 0.020860355)]",5
大米 收到 包装 完好 物流 服务 大米 商品 描述 相符,"[(0, 0.011380541), (1, 0.011419851), (2, 0.011393895), (3, 0.70242256), (4, 0.011380895), (5, 0.011393213), (6, 0.22921664), (7, 0.011392447)]",3
不好 一斤 三块 碎米,"[(0, 0.54964787), (1, 0.025043), (2, 0.025082927), (3, 0.29996666), (4, 0.025088966), (5, 0.025041183), (6, 0.02504381), (7, 0.025085574)]",0
直播间 运费 七天 理由 退货 客服 打电话 退货 买家 运费 垃圾,"[(0, 0.0104230195), (1, 0.010426175), (2, 0.010425747), (3, 0.01043368), (4, 0.9270143), (5, 0.010427983), (6, 0.010423098), (7, 0.010426021)]",4
不好 建议 购买 袋子 旁边 像是 虫子 感觉,"[(0, 0.9025902), (1, 0.013901593), (2, 0.01391145), (3, 0.013897123), (4, 0.013903135), (5, 0.013926584), (6, 0.013929102), (7, 0.013940792)]",0
包装袋 外漏 网上 购物 最差,"[(0, 0.020865174), (1, 0.020852601), (2, 0.020965658), (3, 0.020848077), (4, 0.020855019), (5, 0.85385585), (6, 0.020908587), (7, 0.020848988)]",5
五舅 发货 超级 配送 到位 打开 不知 咋样,"[(0, 0.0139259035), (1, 0.013921503), (2, 0.013922916), (3, 0.013918668), (4, 0.013932709), (5, 0.6224808), (6, 0.29397106), (7, 0.013926435)]",5
实话实说 难吃 幸亏 运费 不吃 打开,"[(0, 0.44302666), (1, 0.44964758), (2, 0.01791354), (3, 0.017869968), (4, 0.01791501), (5, 0.01787569), (6, 0.01787614), (7, 0.017875444)]",1
好吃 家乡 好吃 主播 天花乱坠 搞笑,"[(0, 0.017878676), (1, 0.8747044), (2, 0.017880404), (3, 0.017905004), (4, 0.017899472), (5, 0.017897377), (6, 0.017944554), (7, 0.017890055)]",1
口感 陈米 商家 宣传,"[(0, 0.02501007), (1, 0.02504206), (2, 0.025027057), (3, 0.025037358), (4, 0.2786535), (5, 0.02503779), (6, 0.025049932), (7, 0.57114226)]",7
一发 收到 一袋 直播间 一发 好几篇 主播 一发 骗人,"[(0, 0.012536804), (1, 0.012528667), (2, 0.01256832), (3, 0.9122643), (4, 0.012521467), (5, 0.012553482), (6, 0.012518072), (7, 0.012508908)]",3
视频 粒米 收到 珍珠米 咋样,"[(0, 0.020888522), (1, 0.020908589), (2, 0.020871043), (3, 0.020858103), (4, 0.020890223), (5, 0.020861916), (6, 0.85384613), (7, 0.020875499)]",6
发到 手上 平台 骗人,"[(0, 0.025045529), (1, 0.025044529), (2, 0.025053876), (3, 0.025045842), (4, 0.025041346), (5, 0.82458407), (6, 0.02504033), (7, 0.025144491)]",5
好吃 拆开 运费 险要 自掏腰包,"[(0, 0.020862736), (1, 0.020880647), (2, 0.5718613), (3, 0.020859916), (4, 0.30290705), (5, 0.020893268), (6, 0.020853734), (7, 0.02088131)]",2
袋子 漏出来,"[(0, 0.041686762), (1, 0.04168178), (2, 0.041725244), (3, 0.041680153), (4, 0.04168168), (5, 0.0416874), (6, 0.7081754), (7, 0.04168156)]",6
陈米 做饭 一点 香味,"[(0, 0.02501292), (1, 0.025021488), (2, 0.025007006), (3, 0.025003597), (4, 0.025007816), (5, 0.025028257), (6, 0.025009748), (7, 0.8249092)]",7
骗人 二斤 大米,"[(0, 0.03129599), (1, 0.03130172), (2, 0.42192292), (3, 0.031288367), (4, 0.031293776), (5, 0.031347618), (6, 0.39027265), (7, 0.031276934)]",2
包装袋 透气,"[(0, 0.041713897), (1, 0.041713938), (2, 0.70797074), (3, 0.041713953), (4, 0.0417162), (5, 0.041717734), (6, 0.04173961), (7, 0.04171398)]",2
不好 好吃,"[(0, 0.04172736), (1, 0.0417822), (2, 0.04171291), (3, 0.04171012), (4, 0.7077423), (5, 0.04185231), (6, 0.041678306), (7, 0.04179454)]",4
驴唇不对马嘴 长米 大米,"[(0, 0.031293236), (1, 0.03129688), (2, 0.031296317), (3, 0.031297415), (4, 0.031297423), (5, 0.03130126), (6, 0.78092456), (7, 0.031292897)]",6
粒香 发来 珍珠米,"[(0, 0.2282793), (1, 0.583961), (2, 0.031288307), (3, 0.031284), (4, 0.031289507), (5, 0.031316236), (6, 0.031288546), (7, 0.03129313)]",1
霉味,"[(0, 0.06261281), (1, 0.062504664), (2, 0.5623537), (3, 0.06250467), (4, 0.06250467), (5, 0.062504664), (6, 0.06251016), (7, 0.06250467)]",2
快递 好吃 好吃,"[(0, 0.03126818), (1, 0.031350385), (2, 0.031264003), (3, 0.03126029), (4, 0.031341884), (5, 0.7809477), (6, 0.03126197), (7, 0.031305645)]",5
商品 快递 驿站 人员 工作 三个 正门口 玩游戏 一圈 言语 恶劣,"[(0, 0.92687976), (1, 0.0104565285), (2, 0.01043683), (3, 0.010441842), (4, 0.010452412), (5, 0.010442575), (6, 0.01044632), (7, 0.010443688)]",0
一股 刺鼻 味道 太久 煮熟 发霉 味道,"[(0, 0.713434), (1, 0.015661787), (2, 0.015648713), (3, 0.015638798), (4, 0.01565508), (5, 0.015641265), (6, 0.19265181), (7, 0.015668541)]",0
两块 发货 那天 三块 一袋 两块 两袋 五块 坑人 坑人,"[(0, 0.011391968), (1, 0.011391), (2, 0.011392747), (3, 0.92021674), (4, 0.011428641), (5, 0.01142352), (6, 0.011376455), (7, 0.011378953)]",3
不好 上当 直播间 东西 真的 差劲,"[(0, 0.01790196), (1, 0.017883515), (2, 0.017890416), (3, 0.017879989), (4, 0.017889772), (5, 0.87481076), (6, 0.017873896), (7, 0.017869687)]",5
好吃 好吃 包装 整体 几两 抠搜,"[(0, 0.017881962), (1, 0.8747991), (2, 0.01788638), (3, 0.017878113), (4, 0.017879758), (5, 0.017902829), (6, 0.017880391), (7, 0.017891498)]",1
打了个 检验 合格 日期 生产日期 几个 懒得,"[(0, 0.015688222), (1, 0.8903215), (2, 0.015696976), (3, 0.01564404), (4, 0.015690543), (5, 0.015647985), (6, 0.015659245), (7, 0.015651518)]",1
货物 这么久 发过来 货物 包装 耗子 咬烂 数量 退货 退款,"[(0, 0.011384695), (1, 0.011388541), (2, 0.92030376), (3, 0.0113825705), (4, 0.01139194), (5, 0.011383533), (6, 0.011387408), (7, 0.011377548)]",2
品种 珍珠米 一点 好吃 香味 米粒 很大,"[(0, 0.41326895), (1, 0.015676076), (2, 0.015665835), (3, 0.015649617), (4, 0.015680816), (5, 0.015666578), (6, 0.015660614), (7, 0.49273148)]",7
发货 物流 驿站 通知 买袋,"[(0, 0.02089363), (1, 0.020911843), (2, 0.020877859), (3, 0.020887965), (4, 0.02094573), (5, 0.853646), (6, 0.020943923), (7, 0.020893062)]",5
神奇 味道 一点 香味 嘴里 味道 好吃 口感 不好 这家 一点 味道 不好 一点 物流 两份 开发 同一个 物流 同一个 地址 到达 时间 分开 两天 放在 快递 家里 快递 关门 四五天 五六 取回来 打开 蒸完 有够 无语,"[(1, 0.9769315)]",1
适口 一点 不好 大米 味道 可习 直播间 骗人,"[(0, 0.01391177), (1, 0.9025996), (2, 0.013919541), (3, 0.013908328), (4, 0.013916454), (5, 0.013920585), (6, 0.013921681), (7, 0.013902097)]",1
收到 米袋子 说真的 米太 主播 好吃 算了 价格 不退,"[(0, 0.012526555), (1, 0.012515587), (2, 0.01251612), (3, 0.012518224), (4, 0.012519683), (5, 0.012556944), (6, 0.012522689), (7, 0.91232425)]",7
期待 大米 虫子 不好 购物,"[(0, 0.020862175), (1, 0.020853534), (2, 0.020855285), (3, 0.020847293), (4, 0.02087578), (5, 0.8539742), (6, 0.020867784), (7, 0.020863926)]",5
感觉 口味 上当,"[(0, 0.03129901), (1, 0.03127369), (2, 0.7810154), (3, 0.031253632), (4, 0.03125615), (5, 0.0313332), (6, 0.03127736), (7, 0.031291522)]",2
收到 一贷 一桶 两代 欺骗 顾客,"[(0, 0.017877957), (1, 0.017879352), (2, 0.017902408), (3, 0.017886098), (4, 0.8747754), (5, 0.017886035), (6, 0.01790844), (7, 0.017884295)]",4
直播 下单 福利 关注 粉丝团 手机 回来 骗人,"[(0, 0.65036786), (1, 0.013929253), (2, 0.26604384), (3, 0.013935507), (4, 0.0139245745), (5, 0.0139392335), (6, 0.013923627), (7, 0.013936136)]",0
骗人 直说 收到 货是,"[(0, 0.025057022), (1, 0.025052961), (2, 0.24731274), (3, 0.60228974), (4, 0.025064675), (5, 0.025077945), (6, 0.025104553), (7, 0.025040425)]",3
快递 态度 小包 好不好,"[(0, 0.025031308), (1, 0.27214786), (2, 0.025029458), (3, 0.02503068), (4, 0.5776016), (5, 0.025028313), (6, 0.025030997), (7, 0.025099793)]",4
好吃 下次 再也 主播 骗人 口感 不好,"[(0, 0.015660165), (1, 0.015647931), (2, 0.33791512), (3, 0.015634751), (4, 0.5681989), (5, 0.01566037), (6, 0.015633613), (7, 0.01564911)]",4
糙米 上当受骗 感觉 再也不会,"[(0, 0.025041262), (1, 0.025019798), (2, 0.82470524), (3, 0.02502155), (4, 0.025020894), (5, 0.025049197), (6, 0.025018878), (7, 0.02512316)]",2
直播间 骗人 五常 大米 到手 真珠 骗人 骗子,"[(0, 0.013904757), (1, 0.013919381), (2, 0.013915875), (3, 0.01391069), (4, 0.013907287), (5, 0.90262777), (6, 0.013911083), (7, 0.013903226)]",5
包装,"[(0, 0.06253578), (1, 0.5622), (2, 0.0625941), (3, 0.062508956), (4, 0.062507175), (5, 0.06256454), (6, 0.06251173), (7, 0.06257771)]",1
好吃 超市 散米 推荐,"[(0, 0.025089787), (1, 0.025093943), (2, 0.025096284), (3, 0.02510689), (4, 0.02508963), (5, 0.824306), (6, 0.025085216), (7, 0.025132213)]",5
难吃 收到 仔细 市场 最低价 珍珠 大米 一斤 那种 主播 骗人,"[(0, 0.57903266), (1, 0.010450742), (2, 0.010449249), (3, 0.010440349), (4, 0.010446053), (5, 0.010445175), (6, 0.15934862), (7, 0.2093871)]",0
极差 分支机构 言行不一 态度 蛮横 以假乱真 口出狂言 坑人 打击,"[(0, 0.01252511), (1, 0.012524988), (2, 0.7801456), (3, 0.01254432), (4, 0.14466082), (5, 0.012549962), (6, 0.012524911), (7, 0.012524262)]",2
大米 不好 难吃 商家 没良心,"[(0, 0.020862801), (1, 0.85389113), (2, 0.020860925), (3, 0.020866022), (4, 0.020887151), (5, 0.020879883), (6, 0.020902934), (7, 0.020849138)]",1
五常 大米 一粒 珍珠米 一点 油性 好吃 还好 一小包,"[(0, 0.012521967), (1, 0.83734566), (2, 0.012519958), (3, 0.08750919), (4, 0.012517475), (5, 0.01252863), (6, 0.012530876), (7, 0.012526247)]",1
感觉 大米 长时间 蒸完 香味 失望,"[(0, 0.017914087), (1, 0.017925622), (2, 0.017899014), (3, 0.017884606), (4, 0.017902521), (5, 0.87466913), (6, 0.01790194), (7, 0.017903104)]",5
收到 失望 收到 珍珠米,"[(0, 0.025045471), (1, 0.32905555), (2, 0.025051473), (3, 0.0250399), (4, 0.025030043), (5, 0.025020143), (6, 0.52071136), (7, 0.025046058)]",6
直播间 弹窗 抢到 那款 忽悠 羊头 狗肉 客服 态度 不好 运费 险要 退还 运费,"[(2, 0.767813), (4, 0.18207784)]",2
袋子 大米 不知 本来 物流 快递,"[(0, 0.017882304), (1, 0.017912846), (2, 0.017863642), (3, 0.017863106), (4, 0.017924322), (5, 0.017877327), (6, 0.8748045), (7, 0.017871931)]",6
真他妈 难吃 直播 举报 直播间 告诉,"[(0, 0.017874686), (1, 0.017901758), (2, 0.87473494), (3, 0.017886186), (4, 0.017879847), (5, 0.017880231), (6, 0.017954875), (7, 0.017887514)]",2
干饭 好吃,"[(0, 0.04170553), (1, 0.041731838), (2, 0.041708626), (3, 0.041707084), (4, 0.04171246), (5, 0.041750662), (6, 0.04169691), (7, 0.7079869)]",7
视频,"[(0, 0.5620498), (1, 0.06251268), (2, 0.06255886), (3, 0.06251413), (4, 0.06263264), (5, 0.06258245), (6, 0.062578194), (7, 0.06257126)]",0
