评论,fenci,情感分类,主题概率,主题类型
刚买的这款电脑，在自提点打开的，就发现键盘已经坏了，有个按键都快掉了，自提点不管，让去联系退换货部门，退换货部门说键盘坏了不管退换，让去惠普自己更换新键盘。,这款 电脑 自提点 打开 发现 键盘 有个 按键 提点 退换货 部门 退换货 部门 键盘 退换 惠普 更换 键盘,pos,"[(3, 0.9558503)]",3
是系统 相当及其恶心 不知道这狗 日 的是什么想法 要强行逼我们使用啊 买了两台电脑 一个事系统  一个 是   就没见一个的  网上销售这东西 最重要的是打架尽量不要涉及到售后服务这块 尽量是都搞好了相安无事 其实网上的售后服务比没有售后服务还差劲 我的 400就是因为换货期间以为是键盘小问题就懒得换了,系统 恶心 想法 强行 两台 电脑 系统 没见 网上 销售 东西 打架 涉及 售后服务 这块 搞好 相安无事 网上 售后服务 售后服务 差劲 换货 期间 键盘 懒得,pos,"[(5, 0.96767956)]",5
整体上感觉还行吧，性价比较高，毕竟这个价位买到这样的机器还可以了。刚刚买，正在熟悉中,整体 感觉 还行 性价比 价位 机器 刚刚 熟悉,pos,"[(0, 0.018689785), (1, 0.018613212), (2, 0.9066171), (3, 0.01863694), (4, 0.01865801), (5, 0.018784923)]",2
性能配置完全满足自己需要，的显示器比较省电，增强了待机时间。,性能 配置 显示器 增强 待机时间,pos,"[(0, 0.30635974), (1, 0.027976617), (2, 0.25519168), (3, 0.35448658), (4, 0.027957877), (5, 0.028027482)]",3
性能不错，屏幕不错，比原来公司的 610要轻，所以有人说400比较重我就不觉得了，办公与普通娱乐够用了。,性能 不错 屏幕 不错 公司 有人 办公 娱乐 够用,pos,"[(0, 0.016781231), (1, 0.016741091), (2, 0.91606265), (3, 0.016849997), (4, 0.01675937), (5, 0.0168057)]",2
今天凌晨2点下的订单，下午3点就收到了 真是速度啊 本来想先验验货载载刷卡 呵呵 送货员不让 但是可以理解 回家打开一看 都说分区表态 现在果然是见识了 给客服打了2个电话 咨询了一下备份和安装驱动的问题 客户很好 把邮件发到我邮箱里了 还有各种的驱动信息和注意事项 不错不错,凌晨 订单 下午 收到 速度 本来 先验 验货 载载 刷卡 送货员 不让 理解 回家 打开 分区 表态 见识 客服 电话 咨询 备份 安装 驱动 客户 邮件 发到 邮箱 驱动 信息 注意事项 不错 不错,pos,"[(1, 0.9751902)]",1
一贯的散热优秀性能。还没有用多久，公司前面已经买了两台，觉得一是散热，二是一键恢复，三是皮实耐用稳定，这几条促使我又买了这一台。,一贯 散热 优秀 性能 多久 公司 两台 散热 一键 恢复 皮实 耐用 稳定 几条 促使 一台,pos,"[(2, 0.72752583), (3, 0.23283452), (5, 0.010063646)]",2
5699入手的。买回来马上装了系统。官方网站上都有驱动下载。不错，服务很好。,入手 买回来 系统 官方网站 驱动 下载 不错 服务,pos,"[(0, 0.35195848), (1, 0.5731199), (2, 0.018749576), (3, 0.018621467), (4, 0.01879716), (5, 0.01875337)]",1
设计漂亮，质量很好，配置很牛，电池显示设计很正点，不像别的厂家到15%就自动关机了。,设计 漂亮 质量 配置 电池 显示 设计 正点 厂家 自动关机,pos,"[(0, 0.01537748), (1, 0.015405355), (2, 0.015389582), (3, 0.015298641), (4, 0.015299987), (5, 0.923229)]",5
外观做得挺好，250的硬盘够用，速度还行，原配的操作系统很难上手，还是改成方便一些，在安装的时候发现口供电比较差，如果是大功率的设备还是外接电源比较稳定。,外观 硬盘 够用 速度 原配 操作系统 很难 上手 改成 安装 发现 供电 大功率 设备 接电源 比较稳定,pos,"[(5, 0.95060676)]",5
1、字体并没有那么小，10寸只是页面上显示的东西少了，字体没变小,字体 页面 显示 东西 字体 变小,pos,"[(0, 0.02397884), (1, 0.023988517), (2, 0.024102239), (3, 0.023946168), (4, 0.88004965), (5, 0.023934565)]",4
"定位是网本, 系统是绝对够用了. 特别是的这个发布版本, 简直就是为这种只用来上网冲浪量身订造的. 界面设计, 还有功能键都十分方便贴心.",定位 网本 系统 够用 特别 发布 版本 上网冲浪 量身 订造 界面设计 功能键 贴心,pos,"[(0, 0.012011469), (1, 0.011950919), (2, 0.012023405), (3, 0.011964807), (4, 0.9400024), (5, 0.0120469965)]",4
的牌子，值这个价格。这款本本在国内的出货比美国慢，造型紧凑，适合女生使用。,牌子 价格 本本 国内 出货 美国 造型 紧凑 适合 女生,pos,"[(0, 0.0152778905), (1, 0.015322615), (2, 0.9235188), (3, 0.015276607), (4, 0.015366254), (5, 0.015237912)]",2
做工好，中部滚轴的呼吸灯和悬浮式键盘是亮点。45的性价比在本本中没的说。,做工 中部 滚轴 呼吸 悬浮式 键盘 亮点 性价比 本本 的说,pos,"[(0, 0.015216291), (1, 0.92350286), (2, 0.015409023), (3, 0.015347672), (4, 0.015220736), (5, 0.015303413)]",1
小巧啊！做工真的很，键盘也不错，敲击的感觉也挺好，我喜欢，明天找同学去重装系统，争取双系统，嘿嘿：）,小巧 做工 真的 键盘 不错 敲击 感觉 喜欢 明天 同学 重装系统 双系统,pos,"[(0, 0.012921729), (1, 0.01290784), (2, 0.22330448), (3, 0.012976125), (4, 0.7249411), (5, 0.012948774)]",4
优秀的外观，轻薄的分量，完美的性能。,优秀 外观 轻薄 分量 完美 性能,pos,"[(0, 0.023875307), (1, 0.023913981), (2, 0.8804702), (3, 0.02394635), (4, 0.023861777), (5, 0.023932386)]",2
做工相当好，手感出众。用外置光驱装相当方便，买一键就行了。,做工 手感 出众 外置 光驱 一键 就行了,pos,"[(0, 0.020923404), (1, 0.02098882), (2, 0.020987464), (3, 0.4761617), (4, 0.4398257), (5, 0.021112941)]",3
很漂亮哦，黑黑样子，我喜欢,很漂亮 黑黑 样子 喜欢,pos,"[(0, 0.033503056), (1, 0.03349792), (2, 0.17870343), (3, 0.03358604), (4, 0.68714046), (5, 0.033569057)]",4
