所属主题,文章数量,特征词,主题强度
Topic0,718,抗原、检测、核酸、疫情、新冠、试剂、劳动者、工作、药品、防控、感染、人员、居民、职工、阴性、信息、系统、健康、病毒、证明,0.069749
Topic1,747,口罩、疫情、感染、新冠、病毒、消毒、通风、冠状病毒、预防、新型、防护、事件、防控、肺炎、新增、佩戴、美利、私人、确诊、空气,0.072567
Topic2,851,难受、晚上、感觉、亿元、钥匙、阳了、我阳、发烧、浑身、睡觉、舒服、咳嗽、喝水、第二天、病人、烧到、痛苦、早上、第三天、本来,0.08267
Topic3,309,祈求、功能、享受、项目、疫情、病毒、全球、高烧、资产、价格、低烧、公司、限价、抗原、休息、呜呜、误区、水平、补充、过年,0.030017
Topic4,1171,发烧、感觉、症状、上班、昨天、浑身、咳嗽、退烧、下午、喉咙、公司、年度、吃饭、睡觉、网页、感冒、明天、害怕、不想、东西,0.11376
Topic5,1190,疫情、新冠、病毒、防控、发布、冠状病毒、新型、人员、情况、感染者、感染、新增、全国、肺炎、針對、阳性、国际、安居、陕西省、网页,0.1156
Topic6,436,睡不着、布洛芬、价格、结算、体温、经营、销售、万元、市场、快递、听说、全阳、身体、半夜、短短、一圈、反正、票据、药房、无权,0.042355
Topic7,2860,晚上、公司、疫情、抗原、核酸、隔离、发现、几天、回来、感染、同事、昨天、阳性、小区、两天、上班、终于、家里、第二天、评论,0.27783
Topic8,196,杭州、取消、航班、上传、互联网、生育、申请、放开、药品、呼吸、疫情、开通、旅行、行程、包含、办理、出售、医疗费、客票、药房,0.01904
Topic9,950,口罩、感冒、症状、流感、嗓子、全身、头疼、发烧、感觉、是阳、中标、平息、嗓子疼、舒服、难受、退烧药、不想、身体、害怕、喉咙,0.092287
Topic10,474,鼻塞、疫情、病毒、春节、居民、希望、睡不着、味觉、身体、当初、投毒、医院、伤害、赔偿、症状、老公、同事、要死、转阴、事件,0.046046
Topic11,392,消毒、警察、明天、公司、法院、利润、带薪、年休假、休息、含氯、康复、湿巾、高级、工资、案件、冰箱、单位、高峰、食物、运动,0.03808
