Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重,Topic7-主题词,Topic7-权重,Topic8-主题词,Topic8-权重,Topic9-主题词,Topic9-权重,Topic10-主题词,Topic10-权重,Topic11-主题词,Topic11-权重,Topic12-主题词,Topic12-权重
房间,0.040,环境,0.042,房间,0.045,房间,0.042,环境,0.050,干净,0.035,不错,0.097,房间,0.058,房间,0.052,房间,0.040,不错,0.041,房间,0.031,房间,0.040
环境,0.030,民宿,0.032,干净,0.030,民宿,0.035,不错,0.024,卫生,0.031,干净,0.038,干净,0.035,不错,0.039,民宿,0.032,房间,0.023,酒店,0.026,民宿,0.028
老板,0.029,房间,0.031,民宿,0.029,老板,0.025,满意,0.021,房间,0.028,满意,0.030,卫生,0.027,环境,0.029,不错,0.023,舒服,0.021,干净,0.026,位置,0.023
不错,0.025,酒店,0.028,入住,0.021,满意,0.016,房间,0.021,管家,0.017,房间,0.027,老板,0.021,干净,0.027,老板,0.023,民宿,0.020,不错,0.020,干净,0.022
设施,0.020,设施,0.024,卫生,0.020,热情,0.011,民宿,0.017,位置,0.015,环境,0.019,入住,0.016,位置,0.022,推荐,0.022,环境,0.017,民宿,0.019,入住,0.018
舒服,0.018,干净,0.024,店家,0.015,干净,0.010,舒适,0.014,入住,0.015,舒服,0.016,环境,0.015,舒服,0.020,干净,0.021,体验,0.013,舒服,0.017,推荐,0.017
入住,0.017,卫生,0.021,老板,0.013,院子,0.010,入住,0.014,酒店,0.013,房东,0.014,民宿,0.013,舒适,0.016,入住,0.013,江景,0.013,热情,0.015,不错,0.017
干净,0.013,舒服,0.014,行李,0.011,推荐,0.010,地理位置,0.011,环境,0.013,贴心,0.014,地理位置,0.012,民宿,0.016,风格,0.012,朋友,0.013,入住,0.013,体验,0.014
民宿,0.013,前台,0.013,位置,0.011,不错,0.010,风景,0.011,适合,0.013,民宿,0.011,推荐,0.012,地方,0.012,喜欢,0.012,推荐,0.013,位置,0.013,舒适,0.013
位置,0.009,热情,0.013,满意,0.011,卫生,0.009,干净,0.011,整洁,0.013,卫生,0.011,酒店,0.011,入住,0.012,位置,0.012,老板,0.013,露台,0.011,店家,0.011
泳池,0.008,位置,0.010,热情,0.009,设施,0.008,位置,0.011,民宿,0.013,下午茶,0.008,设施,0.011,酒店,0.012,体验,0.012,管家,0.011,环境,0.011,行李,0.008
感觉,0.008,推荐,0.010,体验,0.009,体验,0.008,整洁,0.011,洗衣机,0.011,推荐,0.008,舒服,0.011,整洁,0.009,地理位置,0.010,设施,0.011,满意,0.011,贴心,0.007
贴心,0.008,江景,0.009,不错,0.009,蜗牛,0.008,景色,0.007,冰箱,0.009,性价比,0.008,满意,0.010,拍照,0.009,装修,0.009,拍照,0.011,很漂亮,0.009,很棒,0.007
酒店,0.008,适合,0.008,好看,0.008,环境,0.007,图片,0.007,早餐,0.009,交通,0.008,装修,0.010,卫生,0.009,好吃,0.009,适合,0.011,喜欢,0.009,值得,0.007
卫生,0.008,不错,0.008,设施,0.008,打扫,0.006,解决,0.007,地理位置,0.009,客服,0.008,交通,0.009,好吃,0.007,卫生,0.008,开心,0.009,漂亮,0.007,帮忙,0.007
朋友,0.008,选择,0.007,厕所,0.006,装修,0.006,机会,0.007,舒服,0.009,朋友,0.008,热情,0.009,感觉,0.007,马桶,0.007,地理位置,0.009,贴心,0.007,卫生,0.007
喜欢,0.008,风格,0.007,推荐,0.006,地理位置,0.006,选择,0.007,不错,0.009,位置,0.008,感觉,0.008,交通,0.007,步行街,0.007,热情,0.009,客厅,0.007,客人,0.006
押金,0.006,态度,0.007,酒店,0.006,值得,0.006,出行,0.007,出行,0.009,热情,0.008,很大,0.007,装修,0.007,智能,0.007,地方,0.009,住宿,0.007,服务态度,0.006
烧烤,0.006,装修,0.007,地铁站,0.006,行李,0.006,到位,0.007,感觉,0.009,酒店设施,0.006,整洁,0.007,设施,0.006,朋友,0.007,值得,0.009,前台,0.007,打卡,0.006
院子,0.006,满意,0.007,装修,0.006,喜欢,0.006,房东,0.007,热情,0.007,行李,0.006,拍照,0.006,地铁,0.005,出行,0.007,位置,0.009,用品,0.007,环境,0.005
清爽,0.006,舒适,0.007,喜欢,0.006,舒服,0.006,推荐,0.007,水果,0.007,老板娘,0.006,好吃,0.006,选择,0.005,舒服,0.007,停车,0.007,老板娘,0.007,广场,0.005
离店,0.006,好吃,0.007,清洁,0.005,很棒,0.006,地段,0.007,贴心,0.007,房子,0.006,贴心,0.006,管家,0.005,环境,0.007,感觉,0.007,推荐,0.007,满意,0.005
整体,0.006,下午茶,0.006,态度,0.005,洗衣机,0.005,很棒,0.007,地方,0.007,地铁口,0.006,洗衣机,0.006,很棒,0.005,退房,0.006,干净,0.007,朋友,0.007,老板,0.004
地理位置,0.006,管家,0.005,退房,0.005,服务员,0.005,要住,0.004,服务态度,0.007,投影,0.006,位置,0.006,出行,0.005,好玩,0.006,满意,0.007,好吃,0.007,优越,0.004
提供,0.005,打卡,0.005,客服,0.005,外卖,0.005,吃饭,0.004,浴缸,0.007,喜欢,0.006,性价比,0.006,服务态度,0.005,放心,0.006,卫生,0.007,管家,0.007,阳台,0.004
姐妹,0.004,早餐,0.005,攻略,0.005,咖啡,0.005,日式,0.004,照片,0.007,整洁,0.006,住宿,0.006,路线,0.004,适合,0.006,入住,0.006,景点,0.007,外卖,0.004
好看,0.004,整洁,0.005,解决,0.005,距离,0.005,牛奶,0.004,好吃,0.007,地理位置,0.006,冰箱,0.005,老板娘,0.004,设施,0.006,整洁,0.005,首选,0.004,住客,0.004
还给,0.004,烧烤,0.005,国金,0.005,泳池,0.005,过关,0.004,走路,0.007,酒店,0.006,小吃,0.005,外卖,0.004,热情,0.006,性价比,0.005,地方,0.004,朋友,0.004
充足,0.004,喜欢,0.005,整体,0.005,细节,0.005,姐姐,0.004,老板,0.007,名宿,0.006,朋友,0.005,耐心,0.004,靠近,0.004,图片,0.005,星级,0.004,夜丘,0.004
孩子,0.004,洗衣机,0.004,步行,0.005,预订,0.005,环境卫生,0.004,推荐,0.007,打车,0.003,浴缸,0.005,冬瓜,0.004,不到,0.004,一楼,0.005,洗漱,0.004,性价比,0.004
咖啡厅,0.004,交通,0.004,提供,0.005,品味,0.005,出门,0.004,选择,0.007,很大,0.003,服务态度,0.005,图片,0.004,夜景,0.004,好吃,0.005,帮忙,0.004,好看,0.004
窗户,0.004,对面,0.004,便利,0.005,客服,0.005,面包,0.004,设施,0.005,双人,0.003,不错,0.005,一楼,0.004,江景,0.004,装修,0.005,空空,0.004,好吃,0.004
风格,0.004,感觉,0.004,风格,0.005,地方,0.005,完备,0.004,风格,0.004,女生,0.003,美食,0.004,好喝,0.004,舒适,0.004,酒店,0.005,吹风机,0.004,前台,0.004
出行,0.004,开心,0.004,公寓,0.005,适合,0.005,提供,0.004,洗脸,0.004,穿出去,0.003,帮忙,0.004,整体,0.004,楼梯,0.004,出行,0.005,按摩,0.004,房型,0.004
打卡,0.004,机会,0.004,电梯,0.005,提前,0.005,回并,0.004,蒸汽,0.004,预约,0.003,攻略,0.004,阳台,0.004,担心,0.004,坡子,0.004,地理位置,0.004,舒服,0.004
接触,0.004,老板娘,0.004,选择,0.005,下午茶,0.004,开心,0.004,朋友,0.004,吃饭,0.003,价格,0.004,好找,0.004,贴心,0.004,精致,0.004,坐在,0.004,停车费,0.004
装修,0.004,入住,0.004,服务态度,0.004,亲切,0.004,妥妥,0.004,精致,0.004,超有,0.003,江景,0.004,客服,0.004,整洁,0.004,公寓,0.004,两间房,0.004,整洁,0.004
