所属主题,文章数量,特征词,主题强度
Topic0,4392,people、trump、human、fire、tower、damage、standing、amazing、president、treasure、lot、real、hurt、safe、restoration、care、soul、damaged、site、notredame,0.065467
Topic1,2395,burning、church、rebuilt、flame、photo、catholic、remember、post、trip、interior、mind、white、mention、fire、statement、shit、fall、awe、omar、smoke,0.0357
Topic2,2005,hope、stand、cross、civilization、main、glad、left、eye、praying、heartbroken、western、restored、forget、hell、government、strong、beautiful、speak、amazing、isn,0.029887
Topic3,4890,amp、sad、day、ago、week、life、holy、picture、church、save、friend、visited、fire、catholic、city、feel、glory、france、money、destroyed,0.07289
Topic4,4465,french、rebuild、heart、cathedral、president、billionaire、macron、break、notredame、euro、notre、dame、rebuilding、religion、pinault、pray、pledge、restore、pledged、breaking,0.066555
Topic5,4420,building、god、beautiful、tragedy、people、heartbreaking、monument、build、france、devastating、survived、loss、destroy、hugo、absolutely、event、month、hate、fucking、horrible,0.065885
Topic6,3335,mobile、movie、app、hindi、dubbed、muslim、click、south、american、pain、cry、indian、hollywood、entire、incredible、grief、told、icon、dream、set,0.049712
Topic7,13610,dame、notre、cathedral、fire、paris、people、france、catholic、burned、inside、gift、photo、free、hunchback、video、prayer、muslim、share、worship、church,0.20287
Topic8,2331,faith、jesus、feel、christian、read、st、humanity、crown、construction、christ、thorn、lord、medium、disaster、sadness、car、completely、house、mary、happen,0.034746
Topic9,4749,history、architecture、art、loss、lost、beauty、gothic、people、beautiful、water、piece、culture、moment、memory、architectural、cultural、guy、true、bad、terrible,0.070789
Topic10,2876,love、visit、historical、don、tragic、france、happened、april、hour、paris、day、thinking、beautiful、support、easter、chance、opportunity、call、view、idea,0.04287
Topic11,1962,religious、hear、century、war、news、ash、rise、symbol、control、heart、heard、stood、christianity、revolution、mayor、caused、pretty、hold、tourist、flame,0.029246
Topic12,4807,paris、time、de、notredame、burn、cathedral、heart、fire、prayer、mosque、heritage、cath、drale、visited、bell、alaqsa、lady、mourn、flame、jerusalem,0.071653
Topic13,8253,fire、cathedral、paris、notredame、notre、dame、saved、structure、news、spire、blaze、firefighter、massive、iconic、monday、devastating、devastated、flame、started、landmark,0.12302
Topic14,2597,roof、tweet、tonight、attack、country、watching、feeling、window、europe、night、hard、terrorist、accident、stone、twitter、front、pic、imagine、glass、literally,0.038711
